School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Spring Branch Academic Institute,https://www.schooldigger.com/go/TX/schools/4110013209/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,14400 Fern,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77079,Harris County,(713) 251-2277,No,No,No,(n/a),127,31.4,4,3.1,0.8,0,29.9,7.9,0,10.2,51.2,99.9
Lawler Middle,https://www.schooldigger.com/go/TX/schools/2001013472/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,12921 Rolater Rd,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin County,(469) 633-4150,No,No,No,(n/a),923,49.5,18.6,4.7,6.4,0.3,75,4,0,2.1,12.2,99.6
William B Travis Vanguard Academy Of Academically Tag,https://www.schooldigger.com/go/TX/schools/1623001374/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,3001 McKinney Ave,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75204,Dallas County,(972) 794-7500,No,No,Yes,(n/a),504,33,15.2,15.7,5.6,0.4,9.5,24.8,0,3,56.7,99.5
Klondike Independent School District,https://www.schooldigger.com/go/TX/schools/2579002909/school.aspx,Klondike Independent School District,https://www.schooldigger.com/go/TX/district/25790/search.aspx,2911 County Rd H,Lamesa,https://www.schooldigger.com/go/TX/city/Lamesa/search.aspx,79331,Dawson County,(806) 462-7332,Yes,No,No,(n/a),264,23.5,11.2,27.3,0.8,0.8,0.4,33.3,0,1.9,62.9,99.4
George Dawson Middle,https://www.schooldigger.com/go/TX/schools/1302009393/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,400 S Kimball Ave,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant County,(817) 949-5500,No,No,No,(n/a),625,42.6,14.6,0.8,1.9,0,17.3,10.7,0,6.6,63.5,99.4
Basis San Antonio- Shavano Campus,https://www.schooldigger.com/go/TX/schools/0143813036/school.aspx,Basis Texas,https://www.schooldigger.com/go/TX/district/01438/search.aspx,4114 Lockhill Selma Rd,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78230,Bexar County,(210) 874-9250,No,Yes,No,(n/a),1050,62.8,16.7,9.7,5,0.5,34.1,24.9,0.2,5,30.4,99.3
T H Rogers School,https://www.schooldigger.com/go/TX/schools/2364006272/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,5840 San Felipe St,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77057,Harris County,(713) 917-3565,No,No,Yes,(n/a),999,65.4,15.2,22,12,0.4,47.5,20.2,0.1,5.2,14.5,99.3
Fowler Middle,https://www.schooldigger.com/go/TX/schools/2001011484/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,3801 McDermott Rd,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin County,(469) 633-5050,No,No,No,(n/a),1002,60.7,16.4,7.9,6.1,0.9,61.7,7.4,0,3.3,20.7,99.2
Seven Lakes J H,https://www.schooldigger.com/go/TX/schools/2517012519/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,6026 Katy Gaston Rd,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend County,(281) 234-2100,No,No,No,(n/a),1558,85.4,18.2,13.8,7.6,0.2,32,25.9,0.1,3,31.3,99.1
Pioneer Heritage Middle,https://www.schooldigger.com/go/TX/schools/2001009161/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,1649 High Shoals Dr,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton County,(469) 633-4700,No,No,No,(n/a),1035,68,15.2,4.6,5.8,0.3,38.4,10,0,3.4,42.1,98.9
