School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Somerset Elementary School,https://www.schooldigger.com/go/WA/schools/0039000087/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,14100 Somerset Boulevard SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98006,King County,(425) 456-5800,KG,5,No,No,No,No,630,35.1,17.9,3.7,0.5,0,72.5,4.3,0.2,7.6,14.9,99.6
Challenge Elementary,https://www.schooldigger.com/go/WA/schools/0240001189/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,5409 228th St SW,Mountlake Terrace,https://www.schooldigger.com/go/WA/city/Mountlake+Terrace/search.aspx,98043,Snohomish County,(425) 431-7157,KG,6,No,No,No,No,343,11.1,30.8,9.9,5.2,0,34.1,2.9,0.3,12.5,44.9,99.6
Medina Elementary School,https://www.schooldigger.com/go/WA/schools/0039000076/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,8001 NE 8th St.,Medina,https://www.schooldigger.com/go/WA/city/Medina/search.aspx,98039,King County,(425) 456-5400,PK,5,No,No,No,No,474,27.1,17.4,0.6,0.2,0.2,63.3,4,0,6.1,26.2,99.5
Samantha Smith Elementary,https://www.schooldigger.com/go/WA/schools/0423002216/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,23305 NE 14th St,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-2710,KG,5,No,No,No,No,634,34.4,18.4,1.1,1.1,0.3,62.6,3.6,0,3.8,28.5,99.5
Louisa May Alcott Elementary,https://www.schooldigger.com/go/WA/schools/0423002062/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,4213 - 228th AVE NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98053,King County,(425) 936-2490,KG,5,No,No,No,No,693,39.6,17.4,2.6,0.7,0,73,4.5,0,2.9,18.9,99.4
Discovery Elementary,https://www.schooldigger.com/go/WA/schools/0375002426/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,2300 228th Ave SE,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98075,King County,(425) 837-4100,PK,5,No,No,No,No,649,37.1,17.4,1.7,2.3,0,59.2,6.6,0,8.2,23.7,99.3
Albert Einstein Elementary,https://www.schooldigger.com/go/WA/schools/0423002648/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,18025 NE 116th,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2540,KG,5,No,No,No,No,440,27.1,16.1,15.2,2.3,0.2,45.9,19.3,0,7,25.2,99.2
Cascade Ridge Elementary,https://www.schooldigger.com/go/WA/schools/0375002881/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,2020 Trossachs Blvd SE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98075,King County,(425) 837-5500,KG,5,No,No,No,No,445,28.3,15.6,0.7,0.2,0,51.7,4.7,0,8.1,35.3,99.2
Lakeridge Elementary School,https://www.schooldigger.com/go/WA/schools/0498000759/school.aspx,Mercer Island School District,https://www.schooldigger.com/go/WA/district/04980/search.aspx,8215 SE 78th,Mercer Island,https://www.schooldigger.com/go/WA/city/Mercer+Island/search.aspx,98040,King County,(206) 236-3415,KG,5,No,No,No,No,404,25.4,15.8,1.7,0.2,0,25.7,3.2,0.2,17.6,53,99.2
Elizabeth Blackwell Elementary,https://www.schooldigger.com/go/WA/schools/0423002649/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,3225 - 205th PL NE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-2520,KG,5,No,No,No,No,520,29.1,17.8,0.8,1.5,0.2,47.1,5.8,0,7.1,38.3,99.2
Sunrise Elementary,https://www.schooldigger.com/go/WA/schools/0591001993/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,14075 172 Av NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 408-5300,PK,5,No,No,No,No,378,23.4,16.1,2.4,0.3,0,27.2,7.1,0,14.6,50.8,99.2
Cherry Crest Elementary School,https://www.schooldigger.com/go/WA/schools/0039000063/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,12400 N.E. 32nd St.,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98005,King County,(425) 456-4900,PK,5,No,No,No,No,596,34.7,17.1,2.2,0.5,0.2,66.8,2,0,5.4,25.2,99.1
Tambark Creek Elementary School,https://www.schooldigger.com/go/WA/schools/0267003699/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,4419 180th St. SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98012,Snohomish County,(425) 302-9200,PK,5,No,No,No,No,689,40.2,17.1,5.7,1.6,0.3,60.5,6.8,0.7,4.4,25.7,98.8
Margaret Mead Elementary,https://www.schooldigger.com/go/WA/schools/0423001785/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,1725 216th AVE NE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-2630,KG,5,No,No,No,No,680,36,18.8,2.4,2.1,0.6,40.7,5.4,0,5.3,45.9,98.8
Rosa Parks Elementary,https://www.schooldigger.com/go/WA/schools/0423003077/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,22845 NE Cedar Park Crescent,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98053,King County,(425) 936-2650,KG,5,No,No,No,No,603,36.5,16.5,1.7,2.5,0.5,59.4,5.6,0.3,5.1,26.5,98.8
Norman Rockwell Elementary,https://www.schooldigger.com/go/WA/schools/0423001842/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,11125 - 162nd AVE NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2670,KG,5,No,No,No,No,514,32,16,4.9,2.1,0.2,47.5,7,0.2,9.3,33.7,98.7
Christa Mcauliffe Elementary,https://www.schooldigger.com/go/WA/schools/0423002311/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,23823 NE 22nd,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-2620,KG,5,No,No,No,No,588,35.1,16.7,1.7,0.7,0,51.7,3.9,0,7,36.7,98.6
Spiritridge Elementary School,https://www.schooldigger.com/go/WA/schools/0039000088/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,16401 SE 24th Street,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98008,King County,(425) 456-5900,KG,5,No,No,No,No,651,35.7,18.2,8.4,3.8,0,54.4,6,0.2,8.6,27,98.5
Laura Ingalls Wilder Elementary,https://www.schooldigger.com/go/WA/schools/0423002257/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,22130 NE 133rd,Woodinville,https://www.schooldigger.com/go/WA/city/Woodinville/search.aspx,98077,King County,(425) 936-2740,PK,5,No,No,No,No,376,25.9,14.5,1.3,1.1,0,26.3,9.8,0,4.3,58.5,98.3
