School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White, Standard Score
Libby Center,https://www.schooldigger.com/go/WA/schools/0825002484/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,2900 E 1St Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99202,Spokane County,(509) 354-7500,No,No,No,No,488,28.4,17.1,24.4,0.8,0.4,5.7,13.3,0,9.4,70.3,99.9
Northstar Middle School,https://www.schooldigger.com/go/WA/schools/0423001843/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,10903 NE 53rd St,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-1760,No,No,No,No,87,4.3,20.1,,1.1,0,46,4.6,0,9.2,39.1,99.9
International Community School,https://www.schooldigger.com/go/WA/schools/0423002568/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,11133 NE 65th ST,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-2380,No,No,Yes,No,412,24,17.1,3.2,0.7,0,54.4,4.4,0.2,6.3,34,99.7
Environmental & Adventure School,https://www.schooldigger.com/go/WA/schools/0423002726/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,8040 NE 132nd,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98034,King County,(425) 936-2355,No,No,Yes,No,140,6.2,22.5,3.6,0,0,27.1,5.7,0,10,57.1,99.2
International School,https://www.schooldigger.com/go/WA/schools/0039003149/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,445 128th Ave SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98005,King County,(425) 456-6500,No,No,No,No,590,29,20.2,7.3,1.7,0.2,50.8,5.6,0,8.6,33.1,99.1
Stella Schola,https://www.schooldigger.com/go/WA/schools/0423002983/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,13505 NE 75th Street,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2475,No,No,Yes,No,88,3.1,28.3,5.7,1.1,0,44.3,8,0,10.2,36.4,98.9
Evergreen Middle School,https://www.schooldigger.com/go/WA/schools/0423001841/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,6900 208th AVE NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98053,King County,(425) 936-2320,No,No,No,No,725,39.5,18.3,9,1.9,0.1,51.9,11.2,0,4.1,30.8,98.7
Inglewood Middle School,https://www.schooldigger.com/go/WA/schools/0423002435/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,24120 NE 8th ST,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-2360,No,No,No,No,1254,59.1,21.1,3.2,1.1,0.1,35.8,6.1,0.3,6.9,49.8,98.7
CAM Academy,https://www.schooldigger.com/go/WA/schools/0038002782/school.aspx,Battle Ground School District,https://www.schooldigger.com/go/WA/district/00380/search.aspx,715 NW Onsdorff Blvd.,Battle Ground,https://www.schooldigger.com/go/WA/city/Battle+Ground/search.aspx,98604,Clark County,(360) 885-6804,No,No,No,No,529,18.2,28.9,21,0.4,0,3.2,5.3,0,5.7,85.4,98.7
Timberline Middle School,https://www.schooldigger.com/go/WA/schools/0423003708/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,9900 Redmond Ridge Drive NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98053,King County,(425) 936-2820,No,No,No,No,808,39.2,20.5,6.7,2.5,0.4,44.7,9.5,0,6.4,36.5,98.7
Hamilton International Middle School,https://www.schooldigger.com/go/WA/schools/0771001180/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1610 N 41 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98103,King County,(206) 252-5810,No,No,No,No,1037,51.8,20,8.5,2.9,0.1,8,9.7,0.2,15.4,63.1,98.3
Pine Lake Middle School,https://www.schooldigger.com/go/WA/schools/0375000580/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,3095 Issaquah-Pine Lake Rd SE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98075,King County,(425) 837-5700,No,No,No,No,942,42.6,22.1,3.4,0.6,0.1,45.9,8.3,0,7.7,37.4,98
Islander Middle School,https://www.schooldigger.com/go/WA/schools/0498000764/school.aspx,Mercer Island School District,https://www.schooldigger.com/go/WA/district/04980/search.aspx,8225 SE 72nd,Mercer Island,https://www.schooldigger.com/go/WA/city/Mercer+Island/search.aspx,98040,King County,(206) 236-3413,No,No,No,No,1029,54.3,18.9,3.8,1,0,23.8,6.2,0,13,55.8,97.7
Odyssey Multiage Program,https://www.schooldigger.com/go/WA/schools/0033002523/school.aspx,Bainbridge Island School District,https://www.schooldigger.com/go/WA/district/00330/search.aspx,9530 NE High School Rd,Bainbridge Island,https://www.schooldigger.com/go/WA/city/Bainbridge+Island/search.aspx,98110,Kitsap County,(206) 780-1646,No,No,No,No,197,13.3,14.7,6.1,1,1,0,5.6,0,11.7,80.7,97.7
Woodward Middle School,https://www.schooldigger.com/go/WA/schools/0033002452/school.aspx,Bainbridge Island School District,https://www.schooldigger.com/go/WA/district/00330/search.aspx,9100 NE Sportsman Club Rd,Bainbridge Island,https://www.schooldigger.com/go/WA/city/Bainbridge+Island/search.aspx,98110,Kitsap County,(206) 842-4787,No,No,No,No,515,26.1,19.6,7.8,0.4,0.4,4.3,8.3,0.2,9.9,76.5,97.4
Tyee Middle School,https://www.schooldigger.com/go/WA/schools/0039000094/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,13630 S.E. Allen Road,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98006,King County,(425) 456-6800,No,No,No,No,1056,51.7,20.4,10.3,2.3,0.3,63.2,4.5,0.5,7.3,21.9,97.3
Pacific Cascade Middle School,https://www.schooldigger.com/go/WA/schools/0375003337/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,24635 SE Issaquah Fall City Ro,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98029,King County,(425) 837-5900,No,No,No,No,1011,45.1,22.4,6.5,3.5,0,30,6.1,0.1,7.6,52.7,97.2
Catharine Blaine K-8 School,https://www.schooldigger.com/go/WA/schools/0771002017/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,2550 34 Av W,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98199,King County,(206) 252-1920,No,No,No,No,533,31.6,16.8,3.4,1.1,0.2,6.6,9,0,11.3,71.5,97.1
Odle Middle School,https://www.schooldigger.com/go/WA/schools/0039000079/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,502 143rd Avenue NE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98007,King County,(425) 456-6600,No,No,No,No,973,51.5,18.8,17.3,3.4,0.1,60.8,9,0.2,7.5,18.9,97
Hazel Wolf K-8,https://www.schooldigger.com/go/WA/schools/0771003271/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,11530 12th Ave. NE,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98125,King County,(206) 252-4500,No,No,No,No,747,43.8,17,18.3,9.1,0,10.3,8,0.5,14.1,57.6,96.8
Kirkland Middle School,https://www.schooldigger.com/go/WA/schools/0423000672/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,430 18th AVE,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-2420,No,No,No,No,548,28.9,18.9,11.5,2.6,0,15.3,9.7,0,8,64.4,96.5
Gateway Middle School,https://www.schooldigger.com/go/WA/schools/0267001725/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,15404 Silver Firs Dr.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98208,Snohomish County,(425) 385-6600,No,No,No,No,972,45.1,21.5,13.2,2.9,0.6,31.8,9.6,0.2,6.7,47.9,96.5
Redmond Middle School,https://www.schooldigger.com/go/WA/schools/0423000680/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,10055 166th AVE NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2440,No,No,No,No,981,49.2,19.9,12.6,2.7,0,38.8,12.1,0,7.8,38.3,96.4
