CustomerId,CreditScore,MaleGender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
79586,619,0,42,2,0,1,1,1,101348.88,Yes
336743,608,0,41,1,83807.86,1,0,1,112542.58,No
328114,502,0,42,8,159660.8,3,1,0,113931.57,Yes
75624,699,0,39,1,0,2,0,0,93826.63,No
368906,850,0,43,2,125510.82,1,1,1,79084.1,No
367735,645,1,44,8,113755.78,2,1,0,149756.71,Yes
146695,822,1,50,7,0,2,1,1,10062.8,No
190772,376,0,29,4,115046.74,4,1,0,119346.88,Yes
108155,501,1,44,4,142051.07,2,0,1,74940.5,No
27058,684,1,27,2,134603.88,1,1,1,71725.73,No
198878,497,1,24,3,0,2,1,0,76390.01,No
157067,476,0,34,10,0,2,1,0,26260.98,No
356989,549,0,25,5,0,2,0,0,190857.79,No
20782,635,0,35,7,0,2,1,1,65951.65,No
55760,616,1,45,3,143129.41,2,0,1,64327.26,No
298405,653,1,58,1,132602.88,1,1,0,5097.67,Yes
302698,549,0,24,9,0,2,1,1,14406.41,No
259458,587,1,45,6,0,1,0,0,158684.81,No
298034,726,0,24,6,0,2,1,1,54724.03,No
22577,732,1,41,8,0,2,1,1,170886.17,No
217879,636,0,32,8,0,2,1,0,138555.46,No
201639,510,0,38,4,0,1,1,0,118913.53,Yes
354488,669,1,46,3,0,2,0,1,8487.75,No
70148,846,0,38,5,0,1,1,1,187616.16,No
108815,577,1,25,3,0,2,0,1,124508.29,No
320493,756,1,36,2,136815.64,1,1,1,170041.95,No
164534,571,1,44,9,0,2,0,0,38433.35,No
258367,574,0,43,3,141349.43,1,1,1,100187.43,No
345406,411,1,29,0,59697.17,2,1,1,53483.21,No
319617,591,0,39,3,0,3,1,0,140469.38,Yes
141933,533,1,36,7,85311.7,1,0,1,156731.91,No
147535,553,1,41,9,110112.54,2,0,0,81898.81,No
108710,520,0,42,6,0,2,1,1,34410.55,No
148641,722,0,29,9,0,2,1,1,142033.07,No
270178,475,0,45,0,134264.04,1,1,0,27822.99,Yes
189767,490,1,31,3,145260.23,1,0,1,114066.77,No
160997,850,1,36,7,0,1,1,1,40812.9,No
88032,582,1,41,6,70349.48,2,0,1,178074.04,No
50434,472,1,40,4,0,1,1,0,70154.22,No
270892,465,0,51,8,122522.32,1,0,0,181297.65,Yes
137787,556,0,61,2,117419.35,1,1,1,94153.83,No
234409,834,0,49,2,131394.56,1,0,0,194365.76,Yes
171456,660,0,61,5,155931.11,1,1,1,158338.39,No
243524,776,0,32,4,109421.13,2,1,1,126517.46,No
315659,829,0,27,9,112045.67,1,1,1,119708.21,Yes
234759,637,0,39,9,137843.8,1,1,1,117622.8,Yes
272639,550,1,38,2,103391.38,1,0,1,90878.13,No
72037,776,0,37,2,103769.22,2,1,0,194099.12,No
195656,698,1,44,10,116363.37,2,1,0,198059.16,No
42026,585,1,36,5,146050.97,2,0,0,86424.57,No
157476,788,0,33,5,0,2,0,0,116978.19,No
65268,655,1,41,8,125561.97,1,0,0,164040.94,Yes
51881,601,1,42,1,98495.72,1,1,0,40014.76,Yes
353095,619,1,43,1,125211.92,1,1,1,113410.49,No
20151,656,1,45,5,127864.4,1,1,0,87107.57,No
163678,725,1,19,0,75888.2,1,0,0,45613.75,No
110473,511,0,66,4,0,1,1,0,1643.11,Yes
255963,614,1,51,4,40685.92,1,1,1,46775.28,No
171850,742,1,35,5,136857,1,0,0,84509.57,No
224351,687,0,27,9,152328.88,2,0,0,126494.82,No
73903,555,1,33,1,56084.69,2,0,0,178798.13,No
259636,684,1,56,8,78707.16,1,1,1,99398.36,No
93297,603,1,26,4,109166.37,1,1,1,92840.67,No
143652,751,0,36,6,169831.46,2,1,1,27758.36,No
238534,581,0,34,1,101633.04,1,1,0,110431.51,No
80078,735,1,43,10,123180.01,2,1,1,196673.28,No
154457,661,0,35,5,150725.53,2,0,1,113656.85,No
122815,675,0,21,8,98373.26,1,1,0,18203,No
103903,738,1,58,2,133745.44,4,1,0,28373.86,Yes
118583,813,1,29,6,0,1,1,0,33953.87,No
98169,657,0,37,0,163607.18,1,0,1,44203.55,No
94694,604,0,25,5,157780.84,2,1,1,58426.81,No
191947,519,1,36,9,0,2,0,1,145562.4,No
