School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Riverside STEM Academy,99.9,Riverside Unified,Riverside,92507,Riverside County,No,No,No,No,663,25,26.5,0.32,0.07,0,0.22,0.31,0.01,0.05
Whitney (Gretchen) High,99.7,ABC Unified,Cerritos,90703,Los Angeles County,No,No,No,No,1009,39.2,25.7,0.25,0.02,0,0.76,0.15,0,0.03
William & Marian Ghidotti High,99.7,Nevada Joint Union High,Grass Valley,95945,Nevada County,No,No,No,No,169,6.1,27.3,0.28,0.01,0.01,0.05,0.07,0,0.05
Oxford Academy,99.5,Anaheim Union High,Cypress,90630,Orange County,No,No,No,No,1250,43,29,0.36,0.01,0,0.7,0.19,0,0.02
Lynbrook High,99.4,Fremont Union High,San Jose,95129,Santa Clara County,(n/a),No,No,No,1880,80,23.4,0.06,0,0,0.84,0.04,0,0.05
Grossmont Middle College High,99.4,Grossmont Union High,El Cajon,92020,San Diego County,Yes,No,No,No,59,3.5,16.8,0.46,0.02,0,0.03,0.32,0,0.12
Academy of the Canyons,99.3,William S. Hart Union High,Santa Clarita,91355,Los Angeles County,No,No,No,No,411,13.1,31.2,0.14,0.02,0,0.39,0.2,0,0.06
Campolindo High,99.3,Acalanes Union High,Moraga,94556,Contra Costa County,No,No,No,No,1406,68.4,20.5,0.03,0.01,0,0.16,0.1,0,0.1
Middle College High,99.2,Lodi Unified,Stockton,95207,San Joaquin County,No,No,No,No,254,8.3,30.6,0.5,0.03,0.01,0.58,0.21,0.02,0.04
University High,99.2,University High District,Fresno,93740,Fresno County,Yes,Yes,No,No,488,19.3,25.2,0.19,0.03,0,0.36,0.26,0,0.07
Technology High,99.2,Cotati-Rohnert Park Unified,Rohnert Park,94928,Sonoma County,No,No,No,No,326,14.6,22.1,0.16,0,0,0.06,0.21,0,0.33
Alameda Science and Technology Institute,99.1,Alameda Unified,Alameda,94501,Alameda County,No,No,Yes,No,192,6.1,31.4,0.29,0.05,0,0.56,0.09,0.01,0.06
Western Center Academy,99.1,Hemet Unified,Hemet,92543,Riverside County,No,Yes,No,No,678,25.9,26.1,0.29,0.03,0.01,0.07,0.41,0,0.05
Dr. TJ Owens Gilroy Early College Academy,99.1,Gilroy Unified,Gilroy,95020,Santa Clara County,No,No,No,No,305,10.4,29.2,0.36,0.01,0,0.23,0.49,0,0.06
Dougherty Valley High,99.1,San Ramon Valley Unified,San Ramon,94582,Contra Costa County,No,No,No,No,3331,132.4,25.1,0.07,0.03,0,0.75,0.06,0,0.05
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,99,Los Angeles Unified,Wilmington,90744,Los Angeles County,Yes,No,No,No,467,16.5,28.3,0.62,0.11,0,0.3,0.53,0.02,0
River Valley Charter,99,River Valley Charter District,Lakeside,92040,San Diego County,(n/a),Yes,No,No,325,13.9,23.3,0.15,0.01,0.02,0.06,0.17,0.01,0.02
Pacific Collegiate Charter,99,Santa Cruz County Office of Education,Santa Cruz,95060,Santa Cruz County,No,Yes,No,No,549,32.2,17,0.12,0,0,0.05,0.15,0,0.12
Mission San Jose High,99,Fremont Unified,Fremont,94539,Alameda County,No,No,Yes,No,2046,85.6,23.8,0.07,0,0,0.92,0.02,0,0.01
Miramonte High,98.9,Acalanes Union High,Orinda,94563,Contra Costa County,No,No,No,No,1286,62.4,20.6,0.04,0.03,0.01,0.17,0.08,0,0.1
Monta Vista High,98.9,Fremont Union High,Cupertino,95014,Santa Clara County,(n/a),No,No,No,2274,92.2,24.6,0.05,0,0,0.8,0.04,0,0.04
Granite Bay High,98.9,Roseville Joint Union High,Granite Bay,95746,Placer County,No,No,Yes,No,2073,85.1,24.3,0.11,0.02,0.01,0.15,0.1,0,0.06
University Preparatory,98.9,University Preparatory District,Redding,96001,Shasta County,(n/a),Yes,No,No,984,45.6,21.5,0.2,0.01,0.01,0.07,0.1,0,0.1
Eunice Sato Academy of Math & Science,98.9,Long Beach Unified,Long Beach,90815,Los Angeles County,No,No,No,No,402,17.2,23.3,0.39,0.07,0.01,0.25,0.32,0.01,0.1
California Academy of Mathematics and Science,98.9,Long Beach Unified,Carson,90747,Los Angeles County,No,No,Yes,No,667,23.5,28.3,0.45,0.07,0,0.37,0.42,0,0.06
Saratoga High,98.8,Los Gatos-Saratoga Union High,Saratoga,95070,Santa Clara County,(n/a),No,No,No,1371,69.5,19.7,0.02,0,0,0.62,0.04,0,0.09
Canyon Crest Academy,98.8,San Dieguito Union High,San Diego,92130,San Diego County,No,No,No,No,2572,93.5,27.5,0.06,0.01,0,0.34,0.08,0,0.04
La Canada High,98.6,La Canada Unified,La Canada,91011,Los Angeles County,(n/a),No,No,No,2068,84.1,24.5,0.05,0.01,0,0.3,0.11,0,0.08
Acalanes High,98.6,Acalanes Union High,Lafayette,94549,Contra Costa County,No,No,No,No,1335,67.2,19.8,0.06,0.01,0,0.12,0.08,0,0.08
University Preparatory Academy Charter,98.5,University Preparatory Academy Charter District,San Jose,95125,Santa Clara County,(n/a),Yes,No,No,684,33,20.7,0.16,0.1,0,0.46,0.27,0,0.03
Academy of the Redwoods,98.4,Fortuna Union High,Eureka,95501,Humboldt County,Yes,No,No,No,190,6,31.6,0.35,0.02,0.02,0.07,0.14,0,0.11
Ocsa,98.3,OCSA District,Santa Ana,92701,Orange County,Yes,Yes,No,No,2177,74.6,29.1,0.12,0.01,0,0.23,0.21,0,0.15
Henry M. Gunn High,98.2,Palo Alto Unified,Palo Alto,94306,Santa Clara County,No,No,No,No,2006,105.1,19,0.07,0.01,0,0.44,0.09,0.01,0.08
Redwood Academy of Ukiah,98,Redwood Academy of Ukiah District,Ukiah,95482,Mendocino County,Yes,Yes,No,No,151,5.7,26.3,0.58,0,0.01,0.08,0.29,0.01,0.05
Troy High,98,Fullerton Joint Union High,Fullerton,92831,Orange County,No,No,Yes,No,2614,104.6,24.9,0.29,0.01,0,0.53,0.27,0,0.04
Piedmont High,98,Piedmont City Unified,Piedmont,94611,Alameda County,No,No,No,No,855,46.1,18.5,0.01,0.01,0,0.13,0.06,0,0.17
Hawthorne Math and Science Academy,97.9,Hawthorne,Hawthorne,90250,Los Angeles County,Yes,Yes,No,No,542,24.4,22.2,0.83,0.15,0,0.14,0.64,0.01,0.02
Western Sierra Collegiate Academy,97.9,Western Sierra Collegiate Academy District,Rocklin,95765,Placer County,(n/a),Yes,No,No,788,35.9,21.9,0.11,0.01,0.01,0.23,0.13,0,0.09
Palo Alto High,97.8,Palo Alto Unified,Palo Alto,94301,Santa Clara County,No,No,No,No,2124,117,18.1,0.08,0.02,0,0.34,0.12,0.01,0.06
Foothill High,97.7,Pleasanton Unified,Pleasanton,94588,Alameda County,No,No,No,No,2178,92,23.6,0.1,0.02,0,0.42,0.1,0.01,0.05
Monte Vista High,97.7,San Ramon Valley Unified,Danville,94526,Contra Costa County,No,No,No,No,2448,101.6,24,0.04,0.01,0,0.23,0.09,0,0.09
Oak Park High,97.7,Oak Park Unified,Oak Park,91377,Ventura County,Yes,No,No,No,1551,65.8,23.5,0.08,0.01,0,0.2,0.11,0,0.05
International Polytechnic High,97.6,Los Angeles County Office of Education,Pomona,91768,Los Angeles County,No,No,No,No,516,21.5,24,0.32,0.02,0,0.24,0.59,0,0.06
American High,97.6,Fremont Unified,Fremont,94536,Alameda County,No,No,No,No,2448,104.6,23.3,0.2,0.03,0,0.71,0.08,0.01,0.04
South Pasadena Senior High,97.6,South Pasadena Unified,South Pasadena,91030,Los Angeles County,Yes,No,No,No,1446,64.3,22.4,0.2,0.02,0,0.38,0.26,0,0.07
University Preparatory High,97.6,Tulare County Office of Education,Visalia,93277,Tulare County,No,Yes,No,No,229,12.1,18.9,0.38,0,0.02,0.11,0.42,0.01,0.07
West Campus,97.5,Sacramento City Unified,Sacramento,95820,Sacramento County,Yes,No,No,No,840,31.7,26.4,0.58,0.05,0,0.33,0.34,0.01,0.09
Mt. Everest Academy,97.4,San Diego Unified,San Diego,92117,San Diego County,No,No,No,Yes,266,13,20.4,0.17,0.01,0,0.12,0.12,0.01,0.17
San Marino High,97.4,San Marino Unified,San Marino,91108,Los Angeles County,Yes,No,No,No,1101,55.3,19.9,0.09,0.01,0,0.6,0.07,0,0.08
Stockton Early College Academy,97.3,Stockton Unified,Stockton,95202,San Joaquin County,Yes,Yes,No,No,432,10.6,40.6,0.51,0.03,0.01,0.44,0.45,0.01,0.01
Del Norte High,97.3,Poway Unified,San Diego,92127,San Diego County,No,No,No,No,2351,87.8,26.7,0.12,0.02,0,0.4,0.09,0,0.06
Amador Valley High,97.3,Pleasanton Unified,Pleasanton,94566,Alameda County,No,No,No,No,2713,111.8,24.2,0.07,0.01,0,0.42,0.08,0,0.04
Los Altos High,97.1,Mountain View-Los Altos Union High,Los Altos,94022,Santa Clara County,No,No,No,No,2227,112.9,19.7,0.17,0.01,0,0.26,0.27,0,0.08
Fountain Valley High,97,Huntington Beach Union High,Fountain Valley,92708,Orange County,No,No,No,No,3531,130.7,27,0.32,0.01,0,0.55,0.14,0.01,0.03
University Preparatory,97,Victor Valley Union High,Victorville,92392,San Bernardino County,Yes,No,No,No,1086,39.1,27.7,0.76,0.06,0,0.12,0.67,0.01,0.02
Carlmont High,96.9,Sequoia Union High,Belmont,94002,San Mateo County,No,No,Yes,No,2216,104.7,21.1,0.12,0.01,0,0.24,0.14,0.01,0.07
Early College High,96.9,Newport-Mesa Unified,Costa Mesa,92626,Orange County,Yes,No,No,No,184,9,20.3,0.62,0.01,0.01,0.08,0.62,0.02,0.01
Cupertino High,96.9,Fremont Union High,Cupertino,95014,Santa Clara County,(n/a),No,No,No,2305,97,23.7,0.09,0.01,0,0.72,0.09,0,0.06
Summit Public School: Shasta,96.8,Summit Public School: Shasta District,Daly City,94015,San Mateo County,Yes,Yes,No,No,491,24.2,20.2,0.18,0.02,0,0.34,0.24,0.02,0.2
Coronado High,96.8,Coronado Unified,Coronado,92118,San Diego County,No,No,No,No,1162,56,20.7,0.08,0.01,0.01,0.04,0.21,0,0.13
Mountain View High,96.8,Mountain View-Los Altos Union High,Mountain View,94040,Santa Clara County,No,No,No,No,2062,108.1,19,0.15,0.02,0,0.24,0.23,0,0.11
Grove,96.8,Grove District,Redlands,92373,San Bernardino County,(n/a),Yes,No,No,228,16.4,13.9,0.18,0.02,0,0.12,0.25,0,0.05
Tesoro High,96.7,Capistrano Unified,Rancho Santa Margarita,92688,Orange County,No,No,No,No,2514,97.9,25.6,0.08,0.01,0,0.13,0.14,0,0.06
Preuss School UCSD,96.7,Preuss School UCSD District,La Jolla,92093,San Diego County,Yes,Yes,No,No,836,40.7,20.5,0.95,0.13,0,0.18,0.65,0,0.04
Harmony Magnet Academy,96.7,Porterville Unified,Strathmore,93267,Tulare County,Yes,Yes,Yes,No,510,20.5,24.8,0.64,0,0.01,0.05,0.7,0,0.02
Carmel High,96.5,Carmel Unified,Carmel,93923,Monterey County,No,No,No,No,845,52.5,16,0.14,0.01,0,0.05,0.19,0,0.14
The High School at Moorpark College,96.5,Moorpark Unified,Moorpark,93021,Ventura County,No,No,No,No,60,3,20,0.08,0.05,0.02,0.12,0.13,0,0
Renaissance Arts Academy,96.5,Renaissance Arts Academy District,Los Angeles,90065,Los Angeles County,Yes,Yes,No,No,554,20,27.6,0.62,0.06,0.01,0.11,0.49,0,0
Torrey Pines High,96.5,San Dieguito Union High,San Diego,92130,San Diego County,No,No,No,No,2444,95,25.7,0.1,0.01,0,0.22,0.13,0,0.03
Westview High,96.4,Poway Unified,San Diego,92129,San Diego County,No,No,No,No,2384,87.3,27.2,0.16,0.02,0,0.39,0.09,0.01,0.07
Walnut High,96.4,Walnut Valley Unified,Walnut,91789,Los Angeles County,No,No,No,No,2375,109.1,21.7,0.24,0.02,0,0.62,0.27,0,0.03
SOAR High (Students On Academic Rise),96.4,Antelope Valley Union High,Lancaster,93536,Los Angeles County,Yes,No,No,No,427,14,30.3,0.52,0.13,0.01,0.09,0.58,0,0.07
Mountain Valley Academy,96.4,Ramona City Unified,Ramona,92065,San Diego County,No,No,No,No,222,8.4,26.2,0.2,0.01,0.01,0.01,0.16,0,0.02
Los Gatos High,96.4,Los Gatos-Saratoga Union High,Los Gatos,95030,Santa Clara County,(n/a),No,No,No,2138,93.9,22.7,0.05,0,0,0.13,0.11,0,0.12
Corona del Mar High,96.2,Newport-Mesa Unified,Newport Beach,92660,Orange County,No,No,No,No,2454,99.6,24.6,0.09,0.01,0,0.1,0.09,0,0.03
Davis Senior High,96.1,Davis Joint Unified,Davis,95616,Yolo County,No,No,No,No,1806,72.9,24.7,0.18,0.03,0,0.19,0.2,0,0.05
Middle College High,96.1,San Bernardino City Unified,San Bernardino,92410,San Bernardino County,Yes,No,No,No,267,10,26.7,0.85,0.06,0,0.03,0.84,0,0.02
Saugus High,96.1,William S. Hart Union High,Saugus,91350,Los Angeles County,No,No,No,No,2481,95,26,0.17,0.02,0,0.09,0.33,0,0.05
San Luis Obispo High,96.1,San Luis Coastal Unified,San Luis Obispo,93401,San Luis Obispo County,No,No,No,No,1558,67.2,23.1,0.25,0.01,0,0.07,0.27,0,0.05
Mira Costa High,96.1,Manhattan Beach Unified,Manhattan Beach,90266,Los Angeles County,Yes,No,No,No,2552,100.2,25.4,0.07,0.02,0,0.1,0.15,0,0.11
Scripps Ranch High,96,San Diego Unified,San Diego,92131,San Diego County,No,No,No,No,2179,81.2,26.8,0.15,0.03,0,0.31,0.15,0,0.12
Natomas Charter,96,Natomas Charter District,Sacramento,95835,Sacramento County,(n/a),Yes,No,No,1833,83.2,22,0.25,0.06,0,0.21,0.29,0.01,0.17
Diamond Bar High,95.9,Walnut Valley Unified,Diamond Bar,91765,Los Angeles County,No,No,No,No,2709,107.7,25.1,0.2,0.03,0,0.68,0.18,0,0.02
Albany High,95.9,Albany City Unified,Albany,94706,Alameda County,No,No,No,No,1168,50.7,23,0.18,0.03,0,0.32,0.17,0,0.12
Clovis North High,95.9,Clovis Unified,Fresno,93730,Fresno County,No,No,No,No,2549,103.6,24.5,0.23,0.03,0.01,0.2,0.26,0,0.04
West Ranch High,95.8,William S. Hart Union High,Valencia,91381,Los Angeles County,No,No,No,No,2465,99.1,24.8,0.15,0.04,0,0.23,0.24,0,0.05
Evergreen Valley High,95.8,East Side Union High,San Jose,95148,Santa Clara County,No,No,No,No,2961,115.2,25.6,0.16,0.01,0,0.78,0.14,0,0.03
Laguna Beach High,95.8,Laguna Beach Unified,Laguna Beach,92651,Orange County,No,No,No,No,1068,53.6,19.9,0.11,0.01,0,0.06,0.11,0,0.05
El Segundo High,95.7,El Segundo Unified,El Segundo,90245,Los Angeles County,Yes,No,No,No,1213,51.7,23.4,0.16,0.06,0,0.07,0.24,0.01,0.13
Anderson W. Clark Magnet High,95.5,Glendale Unified,La Crescenta,91214,Los Angeles County,Yes,No,Yes,No,1111,43.2,25.6,0.56,0,0,0.11,0.06,0,0.01
Sage Creek High,95.4,Carlsbad Unified,Carlsbad,92010,San Diego County,No,No,No,No,1320,50.6,26,0.18,0.02,0,0.12,0.24,0,0.09
Coleville High,95.4,Eastern Sierra Unified,Coleville,96107,Mono County,No,No,No,No,65,6.3,10.3,0.45,0,0.09,0,0.51,0,0
Foothill Technology High,95.3,Ventura Unified,Ventura,93003,Ventura County,No,No,Yes,No,981,38.1,25.7,0.34,0.01,0,0.06,0.34,0,0.05
Lowell High,95.3,San Francisco Unified,San Francisco,94132,San Francisco County,No,No,No,No,2774,111.1,24.9,0.35,0.02,0,0.59,0.1,0,0.1
Temecula Preparatory,95.3,Temecula Preparatory District,Winchester,92596,Riverside County,Yes,Yes,No,No,1055,48.8,21.6,0.21,0.03,0,0.1,0.32,0,0.1
Woodcreek High,95.3,Roseville Joint Union High,Roseville,95747,Placer County,No,No,No,No,2127,91.9,23.1,0.18,0.02,0.01,0.12,0.17,0,0.03
Palos Verdes Peninsula High,95.2,Palos Verdes Peninsula Unified,Rolling Hills Estates,90274,Los Angeles County,No,No,No,No,2329,95.8,24.3,0.09,0.03,0,0.4,0.11,0,0.08
Mark Keppel High,95.2,Alhambra Unified,Alhambra,91801,Los Angeles County,Yes,No,No,No,2257,81.9,27.5,0.57,0,0,0.75,0.21,0,0.03
Irvington High,95,Fremont Unified,Fremont,94538,Alameda County,No,No,Yes,No,2294,102.8,22.3,0.17,0.01,0,0.76,0.09,0,0.02
Leigh High,94.9,Campbell Union High,San Jose,95124,Santa Clara County,No,No,No,No,1772,75.6,23.4,0.1,0,0,0.22,0.18,0.01,0.06
Las Lomas High,94.9,Acalanes Union High,Walnut Creek,94596,Contra Costa County,Yes,No,No,No,1601,76.9,20.8,0.12,0.02,0,0.17,0.14,0,0.04
Parkview,94.9,Placentia-Yorba Linda Unified,Placentia,92870,Orange County,No,No,No,No,183,7,26.1,0.16,0,0.01,0.18,0.23,0,0.04
Da Vinci Charter Academy,94.9,Davis Joint Unified,Davis,95616,Yolo County,No,Yes,Yes,No,588,25.1,23.3,0.16,0.02,0,0.08,0.18,0.01,0.05
Cerritos High,94.9,ABC Unified,Cerritos,90703,Los Angeles County,No,No,No,No,2177,88.7,24.5,0.32,0.06,0,0.57,0.26,0.01,0.03
Alameda High,94.8,Alameda Unified,Alameda,94501,Alameda County,No,No,No,No,1767,76.2,23.1,0.21,0.05,0,0.45,0.13,0.01,0.07
Rancho Bernardo High,94.8,Poway Unified,San Diego,92128,San Diego County,No,No,No,No,2373,84.4,28,0.19,0.03,0,0.25,0.15,0.01,0.06
Alameda Community Learning Center,94.7,Alameda Community Learning Center District,Alameda,94501,Alameda County,(n/a),Yes,No,No,351,13.8,25.3,0.27,0.08,0,0.26,0.13,0,0.18
Edison High,94.6,Huntington Beach Union High,Huntington Beach,92646,Orange County,No,No,No,No,2440,109.3,22.3,0.16,0.01,0.01,0.12,0.17,0.01,0.07
Mission Vista High,94.6,Vista Unified,Oceanside,92057,San Diego County,No,No,Yes,No,1693,75.6,22.3,0.27,0.02,0,0.09,0.33,0.01,0.05
Piedmont Hills High,94.3,East Side Union High,San Jose,95132,Santa Clara County,No,No,Yes,No,2058,85.8,23.9,0.26,0.02,0,0.65,0.23,0.01,0.05
Mt. Carmel High,94.2,Poway Unified,San Diego,92129,San Diego County,No,No,No,No,1906,75.9,25.1,0.25,0.04,0,0.27,0.15,0.01,0.09
Alliance Marc & Eva Stern Math and Science,94.2,Alliance Marc & Eva Stern Math and Science District,Los Angeles,90032,Los Angeles County,Yes,Yes,No,No,607,31.4,19.2,0.86,0.01,0,0.02,0.95,0,0.01
Redwood High,94.1,Tamalpais Union High,Larkspur,94939,Marin County,No,No,No,No,1928,103.8,18.5,0.08,0.02,0,0.06,0.14,0.01,0.06
Folsom High,94.1,Folsom-Cordova Unified,Folsom,95630,Sacramento County,No,No,No,No,2472,95,26,0.15,0.04,0,0.22,0.14,0,0.06
Dublin High,94.1,Dublin Unified,Dublin,94568,Alameda County,No,No,No,No,2978,121.3,24.5,0.1,0.04,0,0.5,0.13,0,0.09
Oakmont High,94,Roseville Joint Union High,Roseville,95661,Placer County,No,No,Yes,No,2044,86.8,23.5,0.25,0.03,0.01,0.18,0.2,0.01,0.04
