School,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Standard Score
Grossmont Middle College High,Grossmont Union High,El Cajon,92020,San Diego County,Yes,No,No,No,59,3.5,16.8,0.46,0.02,0,0.03,0.32,0,0.12,0.51,
Dougherty Valley High,San Ramon Valley Unified,San Ramon,94582,Contra Costa County,No,No,No,No,3331,132.4,25.1,0.07,0.03,0,0.75,0.06,0,0.05,0.12,
Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,95060,Santa Cruz County,No,Yes,No,No,549,32.2,17,0.12,0,0,0.05,0.15,0,0.12,0.68,
University Preparatory,University Preparatory District,Redding,96001,Shasta County,(n/a),Yes,No,No,984,45.6,21.5,0.2,0.01,0.01,0.07,0.1,0,0.1,0.71,
Eunice Sato Academy of Math & Science,Long Beach Unified,Long Beach,90815,Los Angeles County,No,No,No,No,402,17.2,23.3,0.39,0.07,0.01,0.25,0.32,0.01,0.1,0.23,
Saratoga High,Los Gatos-Saratoga Union High,Saratoga,95070,Santa Clara County,(n/a),No,No,No,1371,69.5,19.7,0.02,0,0,0.62,0.04,0,0.09,0.25,
Canyon Crest Academy,San Dieguito Union High,San Diego,92130,San Diego County,No,No,No,No,2572,93.5,27.5,0.06,0.01,0,0.34,0.08,0,0.04,0.54,
Ocsa,OCSA District,Santa Ana,92701,Orange County,Yes,Yes,No,No,2177,74.6,29.1,0.12,0.01,0,0.23,0.21,0,0.15,0.41,
Western Sierra Collegiate Academy,Western Sierra Collegiate Academy District,Rocklin,95765,Placer County,(n/a),Yes,No,No,788,35.9,21.9,0.11,0.01,0.01,0.23,0.13,0,0.09,0.54,
Oak Park High,Oak Park Unified,Oak Park,91377,Ventura County,Yes,No,No,No,1551,65.8,23.5,0.08,0.01,0,0.2,0.11,0,0.05,0.63,
International Polytechnic High,Los Angeles County Office of Education,Pomona,91768,Los Angeles County,No,No,No,No,516,21.5,24,0.32,0.02,0,0.24,0.59,0,0.06,0.09,
Stockton Early College Academy,Stockton Unified,Stockton,95202,San Joaquin County,Yes,Yes,No,No,432,10.6,40.6,0.51,0.03,0.01,0.44,0.45,0.01,0.01,0.06,
Fountain Valley High,Huntington Beach Union High,Fountain Valley,92708,Orange County,No,No,No,No,3531,130.7,27,0.32,0.01,0,0.55,0.14,0.01,0.03,0.26,
