School,District,Address,City,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White
CO School 1,Douglas County School District No. Re 1,509 Education Way,Westminster,80030,Adams County,7,12,Yes,Yes,No,No,2498,78.8,31.7,0.1220,12.2,10.1,0.1,2,47.2,0.8,2.5,37.3
CO School 2,Poudre School District R-1,4652 Pine Road,Littleton,80120,Arapahoe County,5,12,Yes,No,No,No,1163,146.2,8,0.6470,64.7,19.5,1.1,5.5,58.9,0.9,7,7.1
CO School 3,Douglas County School District No. Re 1,4841 Maple Drive,Loveland,80537,Larimer County,9,12,No,No,No,No,1535,41.7,36.8,0.3000,30,13,1.8,1.7,52.4,0.2,3.7,27.2
CO School 4,Mesa County Valley School District No. 51,625 Learning Lane,Loveland,80537,Larimer County,PK,12,Yes,No,No,No,950,119.7,7.9,0.3970,39.7,9.2,0.8,2.5,41.5,0.4,5.1,40.5
CO School 5,Denver Public Schools,8185 Maple Drive,Vail,81657,Eagle County,9,12,Yes,Yes,No,No,1656,71.8,23.1,0.8470,84.7,19.4,2.6,0.1,51.8,1,4.8,20.3
CO School 6,Littleton School District No. 6,7223 Elm Street,Parker,80134,Douglas County,KG,12,No,No,No,No,811,93.8,8.6,0.1800,18,16.8,1.5,2,29.3,0.2,7.7,42.5
CO School 7,Aurora Joint District No. 28,1932 College Ave,Colorado Springs,80903,El Paso County,7,12,Yes,No,No,Yes,2070,147.8,14,0.8330,83.3,2.5,2,9.5,15.7,0.8,5.2,64.3
CO School 8,Pueblo School District No. 60,6218 Valley Road,Windsor,80550,Weld County,9,12,Yes,Yes,No,No,1022,108,9.5,0.1050,10.5,1.2,0.2,0.3,26.5,0.8,2.9,68.1
CO School 9,Thompson School District R-2j,4081 Ridge Way,Glenwood Springs,81601,Garfield County,7,12,Yes,No,No,No,3066,14.5,211.4,0.5900,59,1.2,2.2,8,12.1,0.3,4.8,71.4
CO School 10,Littleton School District No. 6,4192 Maple Drive,Steamboat Springs,80487,Routt County,9,12,Yes,No,No,Yes,462,167.1,2.8,0.7370,73.7,9.7,0.6,4,8.8,0.6,7.9,68.4
CO School 11,Aurora Joint District No. 28,2636 Park Avenue,Aspen,81611,Pitkin County,7,12,No,No,No,No,314,13.8,22.8,0.4580,45.8,10.6,0.2,5.1,60.3,0.1,1.5,22.2
CO School 12,Roaring Fork School District No. Re-1,1443 Summit Drive,Aurora,80010,Arapahoe County,9,12,No,No,No,No,1057,51.5,20.5,0.1980,19.8,9.1,2.8,9.4,5.6,0.9,4.9,67.3
CO School 13,El Paso County Colorado School District 49,4445 Pine Road,Vail,81657,Eagle County,9,12,No,No,No,No,2961,57.9,51.1,0.8380,83.8,10.6,2,5.5,65.6,0.2,7.1,9
