Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2024-25)
1,D'Evelyn Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0480000964/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,10359 W Nassau Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80235,Jefferson County,(303) 982-2600,6,12,No,No,No,No,1212,58,20.8,13.00%,0.80%,0.20%,14.70%,15.90%,0.20%,5.90%,62.10%,98.3
2,Liberty Common Charter School,https://www.schooldigger.com/go/CO/schools/0399001608/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,1725 Sharp Point Drive,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 482-9800,KG,12,No,Yes,No,No,1516,77.6,19.5,,0.90%,0.10%,4.90%,6.70%,0.10%,5.80%,81.50%,98.3
3,Stargate Charter School,https://www.schooldigger.com/go/CO/schools/0690000728/school.aspx,Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,14530 Washington Street,Thornton,https://www.schooldigger.com/go/CO/city/Thornton/search.aspx,80023,Adams County,(303) 450-3936,KG,12,No,Yes,No,No,1572,80.7,19.4,10.40%,1.00%,0.40%,29.90%,10.70%,0.10%,9.90%,47.60%,97.9
4,The Vanguard School (High),https://www.schooldigger.com/go/CO/schools/0453006370/school.aspx,Harrison School District No. 2,https://www.schooldigger.com/go/CO/district/04530/search.aspx,1832 South Wahsatch,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80905,El Paso County,(719) 471-1999,9,12,No,Yes,No,No,303,30.2,10,24.80%,3.30%,0.30%,9.20%,25.70%,0.30%,12.20%,48.80%,97.6
5,Golden View Classical Academy,https://www.schooldigger.com/go/CO/schools/0002006639/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,601 Corporate Circle,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80401,Jefferson County,(720) 598-6700,KG,12,No,Yes,No,No,737,42.3,17.3,,0.70%,0.30%,2.70%,7.30%,0.30%,3.70%,85.10%,96.7
6,Fairview High School,https://www.schooldigger.com/go/CO/schools/0249000114/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,1515 Greenbriar Boulevard,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80305,Boulder County,(720) 561-3100,9,12,No,No,No,No,1863,80.7,23,14.50%,1.20%,0.40%,10.10%,12.10%,0.10%,7.80%,68.10%,95.8
7,TCA College Pathways,https://www.schooldigger.com/go/CO/schools/0192006447/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,12201 Cross Peak View,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80921,El Paso County,(719) 488-6294,7,12,No,Yes,No,Yes,502,21.6,23.1,,2.60%,0.00%,3.80%,10.60%,0.00%,5.80%,77.30%,95.6
8,Mesa Valley Community School,https://www.schooldigger.com/go/CO/schools/0435006384/school.aspx,Mesa County Valley School District No. 51,https://www.schooldigger.com/go/CO/district/04350/search.aspx,609 25 Road,Grand Junction,https://www.schooldigger.com/go/CO/city/Grand+Junction/search.aspx,81505,Mesa County,(970) 254-7202,6,12,No,Yes,No,No,178,11.9,14.8,29.80%,0.00%,0.00%,2.20%,11.80%,0.60%,7.90%,77.50%,95.4
9,Peak to Peak Charter School,https://www.schooldigger.com/go/CO/schools/0249001792/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,800 Merlin Drive,Lafayette,https://www.schooldigger.com/go/CO/city/Lafayette/search.aspx,80026,Boulder County,(303) 453-4600,KG,12,No,Yes,No,No,1447,81.7,17.6,17.60%,0.80%,0.20%,23.30%,12.80%,0.20%,7.00%,55.70%,95.2
10,Denver School of the Arts,https://www.schooldigger.com/go/CO/schools/0336001574/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,7111 Montview Blvd,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80220,Denver County,(720) 424-1700,6,12,No,No,No,No,1044,51.6,20.1,15.80%,5.80%,0.20%,3.90%,19.00%,0.00%,9.30%,59.90%,95.1
11,Ridgeview Classical Schools,https://www.schooldigger.com/go/CO/schools/0399001717/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,1800 South Lemay Avenue,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 494-4620,KG,12,No,Yes,No,No,721,47.8,15,,1.10%,0.00%,2.10%,6.90%,0.00%,6.70%,83.20%,94.8
12,Windsor Charter Academy Early College High School,https://www.schooldigger.com/go/CO/schools/0735006650/school.aspx,Weld County Reorganized School District No. Re-4,https://www.schooldigger.com/go/CO/district/07350/search.aspx,810 Automation Drive,Windsor,https://www.schooldigger.com/go/CO/city/Windsor/search.aspx,80550,Weld County,(970) 833-5190,9,12,No,Yes,No,No,435,23.7,18.3,17.00%,1.40%,0.00%,2.10%,13.80%,0.00%,4.60%,78.20%,94.5
13,STEM School Highlands Ranch,https://www.schooldigger.com/go/CO/schools/0345006493/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,8773 Ridgeline Drive,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80129,Douglas County,(303) 683-7836,KG,12,No,Yes,No,No,1394,79,17.6,13.50%,2.50%,0.30%,26.30%,12.10%,0.40%,7.70%,50.70%,94.3
14,Jefferson Academy Secondary,https://www.schooldigger.com/go/CO/schools/0480001922/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,11251 Reed Way,Broomfield,https://www.schooldigger.com/go/CO/city/Broomfield/search.aspx,80020,Broomfield County,(720) 887-1992,7,12,No,Yes,No,No,696,38.4,18.1,13.20%,1.00%,0.00%,5.30%,12.60%,0.00%,8.00%,73.00%,94.3
15,The Classical Academy High School,https://www.schooldigger.com/go/CO/schools/0192001943/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,975 Stout Road,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80921,El Paso County,(719) 484-0091,9,12,No,Yes,No,No,616,52.2,11.7,13.10%,1.50%,0.50%,2.60%,9.70%,0.20%,5.50%,80.00%,94
