School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Neocity Academy,https://www.schooldigger.com/go/FL/schools/0147008640/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,195 Neocity Way,Kissimmee,https://www.schooldigger.com/go/FL/city/Kissimmee/search.aspx,34744,Osceola County,(407) 933-3903,9,12,No,No,No,No,429,27.5,15.6,34.00%,9.60%,0.50%,8.20%,45.70%,0.70%,1.90%,33.60%,95.8
A.D. Henderson University School & Fau High School,https://www.schooldigger.com/go/FL/schools/0201203140/school.aspx,Fau Lab School,https://www.schooldigger.com/go/FL/district/02012/search.aspx,777 Glades Rd Bldg 30,Boca Raton,https://www.schooldigger.com/go/FL/city/Boca+Raton/search.aspx,33431,Palm Beach County,(561) 297-3970,KG,12,No,No,No,No,1333,46,28.9,22.30%,13.10%,0.20%,13.90%,27.20%,0.10%,6.20%,39.50%,94.7
Mast@fiu,https://www.schooldigger.com/go/FL/schools/0039008302/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,14301 Bay Vista Blvd,North Miami,https://www.schooldigger.com/go/FL/city/North+Miami/search.aspx,33181,Miami-Dade County,(305) 948-1200,9,12,No,No,Yes,No,469,20,23.4,32.00%,16.20%,0.20%,5.80%,44.30%,0.00%,1.30%,32.20%,94.5
Terra Environmental Research Institute,https://www.schooldigger.com/go/FL/schools/0039007634/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,11005 SW 84th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33173,Miami-Dade County,(305) 412-5800,9,12,No,No,Yes,No,1614,62,26,27.80%,1.50%,0.10%,3.40%,85.90%,0.00%,0.60%,8.50%,93.9
St. Petersburg Collegiate High School,https://www.schooldigger.com/go/FL/schools/0156004033/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,6605 5th Ave N,St Petersburg,https://www.schooldigger.com/go/FL/city/St+Petersburg/search.aspx,33710,Pinellas County,(727) 341-4610,10,12,No,Yes,No,No,244,5,48.8,13.10%,8.20%,0.00%,13.10%,16.00%,0.00%,7.80%,54.90%,93.6
Pine View School,https://www.schooldigger.com/go/FL/schools/0168001836/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,1 Python Path,Osprey,https://www.schooldigger.com/go/FL/city/Osprey/search.aspx,34229,Sarasota County,(941) 486-2001,2,12,No,No,Yes,No,1674,101.6,16.4,14.60%,1.30%,0.40%,22.20%,8.70%,0.10%,10.50%,56.90%,93.3
West Shore Junior/Senior High School,https://www.schooldigger.com/go/FL/schools/0015003296/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,250 Wildcat Alley,Melbourne,https://www.schooldigger.com/go/FL/city/Melbourne/search.aspx,32935,Brevard County,(321) 242-4730,7,12,No,No,No,No,931,52,17.9,11.60%,2.70%,0.80%,13.30%,10.80%,0.10%,7.20%,65.10%,93
Stanton College Preparatory,https://www.schooldigger.com/go/FL/schools/0048000706/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,1149 W 13th St,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32209,Duval County,(904) 630-6760,9,12,No,No,Yes,No,1283,79,16.2,15.00%,12.60%,0.30%,36.20%,9.00%,0.70%,10.00%,31.20%,92.9
Archimedean Upper Conservatory,https://www.schooldigger.com/go/FL/schools/0039007456/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,12425 SW 72nd St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33183,Miami-Dade County,(305) 279-6572,9,12,No,Yes,No,No,324,23,14,49.40%,3.10%,0.30%,9.00%,77.50%,0.00%,0.30%,9.90%,92.2
Seaside Neighborhood School,https://www.schooldigger.com/go/FL/schools/0198003138/school.aspx,Walton,https://www.schooldigger.com/go/FL/district/01980/search.aspx,10 Smolian Circle,Santa Rosa Beach,https://www.schooldigger.com/go/FL/city/Santa+Rosa+Beach/search.aspx,32459,Walton County,(850) 231-0396,5,12,No,Yes,No,No,440,25,17.6,7.70%,1.40%,0.70%,3.00%,7.30%,0.00%,2.50%,85.20%,92.1
St. Petersburg Collegiate High School North Pinellas,https://www.schooldigger.com/go/FL/schools/0156008862/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,600 Klosterman Rd,Tarpon Springs,https://www.schooldigger.com/go/FL/city/Tarpon+Springs/search.aspx,34689,Pinellas County,(727) 341-3521,10,12,No,Yes,No,No,209,5,41.8,22.00%,2.40%,0.00%,4.80%,14.40%,0.00%,3.30%,75.10%,92
I Preparatory Academy,https://www.schooldigger.com/go/FL/schools/0039007855/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1500 Biscayne Blvd Ste 129,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33132,Miami-Dade County,(305) 995-1928,PK,12,No,No,Yes,No,824,43,19.1,27.30%,9.60%,0.00%,3.40%,61.70%,0.00%,4.00%,21.40%,91.8
Suncoast Polytechnical High School,https://www.schooldigger.com/go/FL/schools/0168007003/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,4650 Beneva Rd,Sarasota,https://www.schooldigger.com/go/FL/city/Sarasota/search.aspx,34233,Sarasota County,(941) 921-3981,9,12,No,No,Yes,No,566,29,19.5,36.90%,1.90%,0.00%,1.60%,26.00%,0.00%,5.50%,65.00%,91.7
Mast Academy,https://www.schooldigger.com/go/FL/schools/0039002809/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,3979 Rickenbacker Cswy,Key Biscayne,https://www.schooldigger.com/go/FL/city/Key+Biscayne/search.aspx,33149,Miami-Dade County,(305) 365-6278,6,12,No,No,Yes,No,1548,79,19.5,12.90%,1.60%,0.00%,1.20%,73.30%,0.10%,0.90%,22.90%,91.6
Florida Southwestern Collegiate High School,https://www.schooldigger.com/go/FL/schools/0108007882/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,8099 College Pkwy,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33919,Lee County,(239) 432-6767,9,12,No,Yes,No,No,394,11,35.8,14.50%,7.90%,0.50%,6.60%,32.20%,0.30%,2.30%,50.30%,91.1
Collegiate High School At Northwest Florida State College,https://www.schooldigger.com/go/FL/schools/0138004392/school.aspx,Okaloosa,https://www.schooldigger.com/go/FL/district/01380/search.aspx,100 College Blvd E,Niceville,https://www.schooldigger.com/go/FL/city/Niceville/search.aspx,32578,Okaloosa County,(850) 729-4949,9,12,No,Yes,No,No,423,10,42.3,19.10%,5.40%,0.20%,4.30%,10.90%,0.20%,12.80%,66.20%,90.8
Jose Marti Mast 6-12 Academy,https://www.schooldigger.com/go/FL/schools/0039007981/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,5701 W 24th Ave,Hialeah,https://www.schooldigger.com/go/FL/city/Hialeah/search.aspx,33016,Miami-Dade County,(305) 557-5931,6,12,No,No,Yes,No,926,43,21.5,44.40%,4.00%,0.00%,1.50%,90.90%,0.00%,0.10%,3.50%,90.7
Atlantic Technical College,https://www.schooldigger.com/go/FL/schools/0018000270/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,4700 Coconut Creek Pkwy,Margate,https://www.schooldigger.com/go/FL/city/Margate/search.aspx,33063,Broward County,(754) 321-5100,9,12,No,No,Yes,No,686,59,11.6,40.20%,53.50%,0.10%,4.80%,27.40%,0.30%,1.20%,12.70%,90.6
Edgewood Junior/Senior High School,https://www.schooldigger.com/go/FL/schools/0015000119/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,180 E Merritt Ave,Merritt Island,https://www.schooldigger.com/go/FL/city/Merritt+Island/search.aspx,32953,Brevard County,(321) 454-1030,7,12,No,No,No,No,935,50,18.7,16.40%,2.00%,0.60%,9.00%,12.50%,0.30%,8.70%,66.80%,90.1
Pompano Beach High School,https://www.schooldigger.com/go/FL/schools/0018003301/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,600 NE 13th Ave,Pompano Beach,https://www.schooldigger.com/go/FL/city/Pompano+Beach/search.aspx,33060,Broward County,(754) 322-2000,9,12,No,No,Yes,No,1311,50,26.2,32.30%,21.20%,0.20%,7.50%,28.30%,0.20%,3.30%,39.40%,90
Alexander W Dreyfoos Junior School Of The Arts,https://www.schooldigger.com/go/FL/schools/0150002783/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,501 S Sapodilla Ave,West Palm Beach,https://www.schooldigger.com/go/FL/city/West+Palm+Beach/search.aspx,33401,Palm Beach County,(561) 802-6000,9,12,No,No,Yes,No,1368,74.5,18.3,20.10%,12.80%,0.10%,10.20%,25.60%,0.00%,5.40%,45.90%,89.7
Palm Beach Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0150007287/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,9482 MacArthur Blvd,Palm Beach Gardens,https://www.schooldigger.com/go/FL/city/Palm+Beach+Gardens/search.aspx,33403,Palm Beach County,(561) 881-4769,KG,12,No,No,No,Yes,83,11,7.5,10.80%,4.80%,3.60%,6.00%,22.90%,0.00%,4.80%,57.80%,89.5
State College Of Florida Collegiate School,https://www.schooldigger.com/go/FL/schools/0123007901/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,5840 26th St W,Bradenton,https://www.schooldigger.com/go/FL/city/Bradenton/search.aspx,34207,Manatee County,(941) 752-5491,6,12,No,Yes,No,No,485,20,24.2,45.60%,8.50%,0.00%,5.20%,33.20%,0.00%,4.30%,48.90%,89.5
Miami Arts Studio 6-12 At Zelda Glazer,https://www.schooldigger.com/go/FL/schools/0039007631/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,15015 SW 24th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33185,Miami-Dade County,(305) 485-2323,6,12,No,No,Yes,No,1841,78,23.6,31.00%,0.70%,0.00%,0.60%,95.70%,0.00%,0.10%,2.90%,89.5
Rising Leaders Academy,https://www.schooldigger.com/go/FL/schools/0009008094/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,1527 Lincoln Ave,Panama City,https://www.schooldigger.com/go/FL/city/Panama+City/search.aspx,32405,Bay County,(850) 215-0844,KG,12,No,Yes,No,No,309,14,22,37.50%,19.70%,0.60%,5.50%,12.60%,0.00%,8.40%,53.10%,89.4
Doral Performing Arts & Entertainment Academy,https://www.schooldigger.com/go/FL/schools/0039005493/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,11100 NW 27th St,Doral,https://www.schooldigger.com/go/FL/city/Doral/search.aspx,33172,Miami-Dade County,(305) 597-9950,9,12,No,Yes,No,No,384,4,96,33.30%,0.80%,0.00%,0.50%,94.80%,0.00%,0.50%,3.40%,89.3
Suncoast Community High School,https://www.schooldigger.com/go/FL/schools/0150001484/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,1717 Avenue S,Riviera Beach,https://www.schooldigger.com/go/FL/city/Riviera+Beach/search.aspx,33404,Palm Beach County,(561) 882-3400,9,12,Yes,No,Yes,No,1575,82,19.2,28.10%,22.50%,0.10%,16.10%,24.00%,0.10%,5.50%,31.70%,89.3
McFatter Technical College,https://www.schooldigger.com/go/FL/schools/0018002488/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,6500 Nova Dr,Davie,https://www.schooldigger.com/go/FL/city/Davie/search.aspx,33317,Broward County,(754) 321-5700,9,12,No,No,Yes,No,599,44.3,13.5,44.20%,20.00%,0.20%,5.70%,47.70%,0.30%,2.30%,23.70%,88.8
