Rank,School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
1,Gwinnett School of Mathematics- Science and Technology,https://www.schooldigger.com/go/GA/schools/0255003553/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Lawrenceville,https://www.schooldigger.com/go/GA/city/Lawrenceville/search.aspx,30044,Gwinnett,(678) 518-6700,9,12,No,No,No,No,979,56.3,17.3,0.34,0.23,0.00,0.44,0.10,0.00,0.04,0.20,98.1
2,Columbus High School,https://www.schooldigger.com/go/GA/schools/0387001406/school.aspx,Muscogee County,https://www.schooldigger.com/go/GA/district/03870/search.aspx,Columbus,https://www.schooldigger.com/go/GA/city/Columbus/search.aspx,31906,Muscogee,(706) 748-2534,9,12,No,No,No,No,1267,62,20.4,0.21,0.24,0.00,0.10,0.06,0.00,0.05,0.55,97.2
3,Walton High School,https://www.schooldigger.com/go/GA/schools/0129000513/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Marietta,https://www.schooldigger.com/go/GA/city/Marietta/search.aspx,30062,Cobb,(770) 578-3225,9,12,No,Yes,No,No,2693,139.5,19.3,0.04,0.06,0.00,0.19,0.05,0.00,0.02,0.68,95.2
4,Dekalb Early College Academy,https://www.schooldigger.com/go/GA/schools/0174003708/school.aspx,Dekalb County,https://www.schooldigger.com/go/GA/district/01740/search.aspx,Stone Mountain,https://www.schooldigger.com/go/GA/city/Stone+Mountain/search.aspx,30083,DeKalb,(678) 676-0221,9,12,Yes,No,No,No,325,16.5,19.6,0.56,0.91,0.00,0.01,0.06,0.00,0.01,0.01,95.1
5,Lambert High School,https://www.schooldigger.com/go/GA/schools/0222003954/school.aspx,Forsyth County,https://www.schooldigger.com/go/GA/district/02220/search.aspx,Suwanee,https://www.schooldigger.com/go/GA/city/Suwanee/search.aspx,30024,Gwinnett,(678) 965-5050,9,12,No,No,No,No,2934,156.6,18.7,0.04,0.04,0.00,0.22,0.05,0.00,0.03,0.66,94.7
6,Lassiter High School,https://www.schooldigger.com/go/GA/schools/0129001881/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Marietta,https://www.schooldigger.com/go/GA/city/Marietta/search.aspx,30066,Cobb,(678) 494-7863,9,12,No,No,No,No,2220,117.5,18.8,0.09,0.09,0.00,0.07,0.08,0.00,0.03,0.73,94.5
7,Pope High School,https://www.schooldigger.com/go/GA/schools/0129001994/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Marietta,https://www.schooldigger.com/go/GA/city/Marietta/search.aspx,30062,Cobb,(770) 578-7900,9,12,No,No,No,No,2038,105,19.4,0.06,0.07,0.00,0.07,0.06,0.00,0.03,0.77,93.4
8,Davidson Magnet School,https://www.schooldigger.com/go/GA/schools/0438001567/school.aspx,Richmond County,https://www.schooldigger.com/go/GA/district/04380/search.aspx,Augusta,https://www.schooldigger.com/go/GA/city/Augusta/search.aspx,30901,Richmond,(706) 823-6924,6,12,No,No,Yes,No,807,45.6,17.6,0.97,0.44,0.00,0.04,0.05,0.01,0.02,0.45,92.4
9,North Gwinnett High School,https://www.schooldigger.com/go/GA/schools/0255001123/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Suwanee,https://www.schooldigger.com/go/GA/city/Suwanee/search.aspx,30024,Gwinnett,(770) 945-9558,9,12,No,No,No,No,2931,141.5,20.7,0.09,0.12,0.00,0.21,0.09,0.00,0.04,0.54,92.1
10,McIntosh High School,https://www.schooldigger.com/go/GA/schools/0213001892/school.aspx,Fayette County,https://www.schooldigger.com/go/GA/district/02130/search.aspx,Peachtree City,https://www.schooldigger.com/go/GA/city/Peachtree+City/search.aspx,30269,Fayette,(770) 631-3232,9,12,No,No,No,No,1690,97,17.4,0.11,0.10,0.00,0.10,0.11,0.00,0.06,0.63,91.1
