Monthly Hours,Department,Salary,Number_of_Projects,Tenure,Filed Complaint,Recently_Promoted,Last_Evaluation,Employee_Satisfaction,Status
221,Engineering,Low,4,5,0,0,0.93,0.83,Left
232,Support,Low,3,2,0,0,,0.83,Employed
184,Sales,Medium,3,3,0,0,0.79,0.83,Employed
206,Sales,Low,4,2,0,0,0.58,0.42,Employed
249,Sales,Low,3,3,0,0,0.85,0.78,Employed
140,Sales,Medium,4,4,0,0,0.59,0.66,Employed
121,Sales,Low,3,3,1,0,0.63,0.84,Employed
150,Engineering,Low,4,3,0,0,0.64,0.8,Employed
215,Engineering,Medium,3,7,1,0,0.52,0.72,Employed
269,Support,Medium,5,2,0,0,0.91,0.99,Employed
147,Sales,Medium,2,3,0,0,,0.4,Left
188,Sales,Low,6,5,1,0,0.93,0.48,Employed
191,Support,Low,5,4,0,0,0.95,0.93,Employed
290,Engineering,Medium,6,4,0,0,0.77,0.09,Left
253,Sales,Medium,5,6,0,0,0.58,0.63,Employed
258,Support,Medium,5,5,0,0,0.84,0.85,Left
151,Engineering,Medium,4,3,0,0,0.45,0.66,Employed
252,It,Low,5,5,0,0,0.92,0.89,Left
276,Product,Low,4,2,0,0,0.57,0.38,Employed
154,Marketing,Low,2,3,0,0,,0.42,Left
259,Product,Low,2,3,0,0,0.76,0.79,Employed
136,Marketing,Low,3,3,0,0,,0.44,Employed
176,It,Low,3,3,0,0,,0.87,Employed
231,Support,Medium,4,3,0,0,0.94,0.67,Employed
125,Temp,Medium,2,,0,0,,,Employed
109,Sales,Low,3,3,1,0,0.8,0.54,Employed
130,Procurement,Low,6,6,1,0,0.72,0.18,Employed
163,Sales,Medium,2,3,0,0,0.55,0.54,Employed
67,Temp,Low,1,,0,0,,,Employed
184,Sales,Medium,4,3,0,0,0.76,0.62,Employed
268,Engineering,Low,3,4,0,0,0.94,0.94,Employed
188,Finance,Medium,3,4,0,0,0.86,1,Employed
107,Engineering,Medium,2,3,0,0,0.47,0.62,Employed
156,Sales,Medium,3,3,0,0,0.62,0.43,Employed
234,It,Medium,4,2,1,0,0.86,0.63,Employed
127,Sales,Low,5,3,0,0,,0.83,Employed
282,It,Medium,5,3,0,0,0.72,0.21,Employed
133,Sales,Low,3,4,0,0,0.97,0.82,Employed
270,Engineering,Low,6,5,0,0,0.48,0.15,Employed
184,,Low,5,5,0,0,1,0.3,Employed
132,Marketing,Low,2,3,0,0,0.5,0.44,Left
126,Support,Low,3,10,1,0,0.82,0.77,Employed
139,Product,Medium,4,3,0,0,0.86,0.68,Employed
308,Engineering,Medium,7,4,0,0,0.86,0.12,Left
70,Temp,Low,3,,0,0,,,Employed
147,Engineering,Low,2,3,0,0,,0.4,Left
274,Support,Medium,5,6,0,0,0.84,0.8,Left
278,Sales,Low,7,4,0,0,0.77,0.15,Left
156,Engineering,Medium,4,2,0,0,0.99,0.46,Employed
185,Sales,Low,4,2,0,0,0.6,0.87,Employed
263,Sales,Low,6,6,0,0,0.74,0.76,Employed
260,Sales,Low,5,3,0,0,0.77,0.71,Employed
224,Support,Medium,5,2,0,0,0.56,0.91,Employed
224,Sales,Medium,4,10,0,0,0.91,0.62,Employed
135,Sales,Low,2,3,0,0,0.53,0.39,Left
147,Marketing,Low,2,3,0,0,0.71,0.97,Employed
245,Engineering,Medium,7,4,0,0,0.93,0.06,Left
203,Product,Medium,3,3,1,0,0.49,0.49,Employed
235,Finance,High,4,2,1,0,0.74,0.93,Employed
187,It,Low,3,5,0,0,0.73,0.21,Employed
132,Management,Low,2,3,0,0,0.54,0.43,Left
258,Product,Low,7,4,0,0,0.81,0.15,Left
165,Engineering,Low,4,2,0,0,0.52,0.85,Employed
