School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Signature School Inc,https://www.schooldigger.com/go/IN/schools/0002100319/school.aspx,Signature School Inc,https://www.schooldigger.com/go/IN/district/00021/search.aspx,610 Main St,Evansville,https://www.schooldigger.com/go/IN/city/Evansville/search.aspx,47708,Vanderburgh County,(812) 421-1820,No,Yes,No,No,389,26.6,14.6,16.2,3.6,0.3,20.1,5.4,0,6.7,64,99.5
Indiana Academy for Sci Math Hmn,https://www.schooldigger.com/go/IN/schools/0004102348/school.aspx,Indiana Academy for Sci Math Hmn,https://www.schooldigger.com/go/IN/district/00041/search.aspx,BSU - 301 N Talley Avenue,Muncie,https://www.schooldigger.com/go/IN/city/Muncie/search.aspx,47306,Delaware County,(765) 285-8102,No,No,No,No,200,28.2,7,17.5,7.5,0.5,14.5,5.5,0,6.5,65.5,99.2
Carmel High School,https://www.schooldigger.com/go/IN/schools/0120000193/school.aspx,Carmel Clay Schools,https://www.schooldigger.com/go/IN/district/01200/search.aspx,520 E Main St,Carmel,https://www.schooldigger.com/go/IN/city/Carmel/search.aspx,46032,Hamilton County,(317) 846-7721,No,No,No,No,5414,291.7,18.5,10.4,3.8,0.1,14.3,3.6,0.3,6.4,71.5,97
Zionsville Community High School,https://www.schooldigger.com/go/IN/schools/0283000341/school.aspx,Zionsville Community Schools,https://www.schooldigger.com/go/IN/district/02830/search.aspx,1000 Mulberry St,Zionsville,https://www.schooldigger.com/go/IN/city/Zionsville/search.aspx,46077,Boone County,(317) 873-3355,No,No,No,No,2161,112.5,19.1,5.6,2.1,0.2,5.5,4.5,0,4.9,82.8,96.8
West Lafayette Junior/Senior High School,https://www.schooldigger.com/go/IN/schools/1287002048/school.aspx,West Lafayette Com School Corp,https://www.schooldigger.com/go/IN/district/12870/search.aspx,1105 N Grant St,West Lafayette,https://www.schooldigger.com/go/IN/city/West+Lafayette/search.aspx,47906,Tippecanoe County,(765) 746-0400,No,No,No,No,1102,74.2,14.8,15.3,7,0,21.3,6.4,0,5.8,59.5,96.7
The Academy of Sci & Entrepreneurship,https://www.schooldigger.com/go/IN/schools/0063002467/school.aspx,Monroe County Community School Corp,https://www.schooldigger.com/go/IN/district/00630/search.aspx,444 S Patterson Dr,Bloomington,https://www.schooldigger.com/go/IN/city/Bloomington/search.aspx,47403,Monroe County,(812) 330-2480,No,No,No,No,105,11.7,8.9,27.6,1.9,0,2.9,3.8,1,9.5,81,96.1
Barr Reeve Middle/High School,https://www.schooldigger.com/go/IN/schools/0033000061/school.aspx,Barr-Reeve Community Schools Inc,https://www.schooldigger.com/go/IN/district/00330/search.aspx,627 N 3rd St,Montgomery,https://www.schooldigger.com/go/IN/city/Montgomery/search.aspx,47558,Daviess County,(812) 486-3265,No,No,No,No,477,28,17,22.2,0.2,0,0,1.9,0,0.8,97.1,95.2
Fremont High School,https://www.schooldigger.com/go/IN/schools/0378000601/school.aspx,Fremont Community Schools,https://www.schooldigger.com/go/IN/district/03780/search.aspx,701 W Toledo St,Fremont,https://www.schooldigger.com/go/IN/city/Fremont/search.aspx,46737,Steuben County,(260) 495-9876,No,No,No,No,284,21,13.5,29.2,0.4,0,0.4,2.5,0,1.8,95.1,94.2
Homestead Senior High School,https://www.schooldigger.com/go/IN/schools/0003000002/school.aspx,MSD Southwest Allen County Schls,https://www.schooldigger.com/go/IN/district/00030/search.aspx,4310 Homestead Rd,Fort Wayne,https://www.schooldigger.com/go/IN/city/Fort+Wayne/search.aspx,46814,Allen County,(260) 431-2202,No,No,No,No,2503,127.7,19.5,15.4,5.3,0.4,4.5,7.2,0.2,4.7,77.8,94.2
Brownsburg High School,https://www.schooldigger.com/go/IN/schools/0102000176/school.aspx,Brownsburg Community School Corp,https://www.schooldigger.com/go/IN/district/01020/search.aspx,1000 S Odell St,Brownsburg,https://www.schooldigger.com/go/IN/city/Brownsburg/search.aspx,46112,Hendricks County,(317) 852-2258,No,No,No,No,2886,152.7,18.8,23.7,13.8,0.1,3,7.1,0.2,5,70.8,93.7
Washington Township Middle/High School,https://www.schooldigger.com/go/IN/schools/0900002009/school.aspx,East Porter County School Corp,https://www.schooldigger.com/go/IN/district/09000/search.aspx,381 E Sr 2,Valparaiso,https://www.schooldigger.com/go/IN/city/Valparaiso/search.aspx,46383,Porter County,(219) 464-3598,No,No,No,No,467,29.5,15.8,27.4,1.3,0.2,1.5,12.6,0,1.5,82.9,92.7
Seven Oaks Classical School,https://www.schooldigger.com/go/IN/schools/0017602603/school.aspx,Seven Oaks Classical School,https://www.schooldigger.com/go/IN/district/00176/search.aspx,200 East Association Street,Ellettsville,https://www.schooldigger.com/go/IN/city/Ellettsville/search.aspx,47429,Monroe County,(812) 935-5003,Yes,Yes,No,No,388,33.4,11.5,30.7,0.3,0.3,0.8,2.1,0,7.2,89.4,91.9
Carroll High School,https://www.schooldigger.com/go/IN/schools/0825001414/school.aspx,Northwest Allen County Schools,https://www.schooldigger.com/go/IN/district/08250/search.aspx,3701 Carroll Rd,Fort Wayne,https://www.schooldigger.com/go/IN/city/Fort+Wayne/search.aspx,46818,Allen County,(260) 637-3161,No,No,No,No,2475,129,19.1,18.1,2.3,0.1,3.9,4.8,0.1,4.2,84.6,91.5
Westfield High School,https://www.schooldigger.com/go/IN/schools/1308002075/school.aspx,Westfield-Washington Schools,https://www.schooldigger.com/go/IN/district/13080/search.aspx,18250 N Union St,Westfield,https://www.schooldigger.com/go/IN/city/Westfield/search.aspx,46074,Hamilton County,(317) 867-6800,No,No,No,No,2527,137.8,18.3,13.6,3.4,0,2.9,9,0,4.6,80.1,90.9
Hamilton Southeastern High School,https://www.schooldigger.com/go/IN/schools/1065001752/school.aspx,Hamilton Southeastern Schools,https://www.schooldigger.com/go/IN/district/10650/search.aspx,13910 E 126th St,Fishers,https://www.schooldigger.com/go/IN/city/Fishers/search.aspx,46037,Hamilton County,(317) 594-4190,No,No,No,No,3405,158.8,21.4,13.5,9,0.2,7.8,6.5,0,4.4,72,90.6
Fishers High School,https://www.schooldigger.com/go/IN/schools/1065002392/school.aspx,Hamilton Southeastern Schools,https://www.schooldigger.com/go/IN/district/10650/search.aspx,13000 Promise Rd,Fishers,https://www.schooldigger.com/go/IN/city/Fishers/search.aspx,46038,Hamilton County,(317) 915-4290,No,No,No,No,3689,166,22.2,17.8,8,0.3,6.6,8.4,0,5.3,71.2,90.4
Cascade Senior High School,https://www.schooldigger.com/go/IN/schools/0666001171/school.aspx,Mill Creek Community School Corp,https://www.schooldigger.com/go/IN/district/06660/search.aspx,6565 S Cr 200 W,Clayton,https://www.schooldigger.com/go/IN/city/Clayton/search.aspx,46118,Hendricks County,(317) 539-9315,No,No,No,No,496,31.8,15.5,23.8,0.6,0.4,1.4,2.2,0,2.2,93.1,90
Burris Laboratory School,https://www.schooldigger.com/go/IN/schools/0003800185/school.aspx,Burris Laboratory School,https://www.schooldigger.com/go/IN/district/00038/search.aspx,2000 University Ave,Muncie,https://www.schooldigger.com/go/IN/city/Muncie/search.aspx,47306,Delaware County,(765) 285-8600,Yes,No,No,No,671,47.6,14,23.2,5.8,0.3,4.2,4.6,0,9.2,75.9,89.1
Penn High School,https://www.schooldigger.com/go/IN/schools/0876001451/school.aspx,Penn-Harris-Madison School Corp,https://www.schooldigger.com/go/IN/district/08760/search.aspx,56100 Bittersweet Rd,Mishawaka,https://www.schooldigger.com/go/IN/city/Mishawaka/search.aspx,46545,St. Joseph County,(574) 259-7961,No,No,No,No,3877,167.5,23.1,18.5,10.5,0.5,5.7,7.1,0.3,4.3,71.6,88.1
