Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
1,Boston Latin,https://www.schooldigger.com/go/MA/schools/0279000203/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,78 Ave Louis Pasteur,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2115,Suffolk County,(617) 635-8895,7,12,Yes,No,No,No,2416,122.8,19.6,,9.7%,0.0%,28.6%,14.2%,0.2%,5.0%,42.0%,98.1
2,Acton-Boxborough Regional High,https://www.schooldigger.com/go/MA/schools/0171000012/school.aspx,Acton-Boxborough,https://www.schooldigger.com/go/MA/district/01710/search.aspx,36 Charter Rd,Acton,https://www.schooldigger.com/go/MA/city/Acton/search.aspx,1720,Middlesex County,(978) 264-4700,9,12,No,No,No,No,1703,128.3,13.2,,2.8%,0.1%,36.6%,5.9%,0.1%,3.6%,50.5%,96.4
3,Lexington High,https://www.schooldigger.com/go/MA/schools/0684001001/school.aspx,Lexington,https://www.schooldigger.com/go/MA/district/06840/search.aspx,251 Waltham Street,Lexington,https://www.schooldigger.com/go/MA/city/Lexington/search.aspx,2421,Middlesex County,(781) 861-2320,9,12,No,No,No,No,2273,184.4,12.3,,3.9%,0.0%,43.2%,4.4%,0.0%,6.6%,41.8%,95.7
4,Advanced Math and Science Academy Charter School,https://www.schooldigger.com/go/MA/schools/0008501984/school.aspx,Advanced Math and Science Academy Charter (District),https://www.schooldigger.com/go/MA/district/00085/search.aspx,201 Forest Street,Marlborough,https://www.schooldigger.com/go/MA/city/Marlborough/search.aspx,1752,Middlesex County,(508) 597-2400,6,12,Yes,Yes,No,No,965,80.2,12,,2.0%,0.0%,14.4%,7.3%,0.0%,6.4%,69.5%,95.4
5,Winchester High School,https://www.schooldigger.com/go/MA/schools/1311002174/school.aspx,Winchester,https://www.schooldigger.com/go/MA/district/13110/search.aspx,80 Skillings Road,Winchester,https://www.schooldigger.com/go/MA/city/Winchester/search.aspx,1890,Middlesex County,(781) 721-7020,9,12,No,No,No,No,1349,98.9,13.6,,1.4%,0.4%,19.4%,3.7%,0.1%,4.7%,70.3%,95.2
6,Bromfield,https://www.schooldigger.com/go/MA/schools/0588000838/school.aspx,Harvard,https://www.schooldigger.com/go/MA/district/05880/search.aspx,14 Massachusetts Avenue,Harvard,https://www.schooldigger.com/go/MA/city/Harvard/search.aspx,1451,Worcester County,(978) 456-4152,6,12,Yes,No,No,No,573,54,10.6,,2.3%,0.0%,12.2%,3.7%,0.0%,3.7%,78.0%,95.2
7,Norwell High,https://www.schooldigger.com/go/MA/schools/0903001455/school.aspx,Norwell,https://www.schooldigger.com/go/MA/district/09030/search.aspx,18 South Street,Norwell,https://www.schooldigger.com/go/MA/city/Norwell/search.aspx,2061,Plymouth County,(781) 659-8810,9,12,No,No,No,No,631,50.3,12.5,,0.3%,0.0%,3.2%,2.1%,0.0%,2.2%,92.2%,95
8,Hingham High,https://www.schooldigger.com/go/MA/schools/0609000872/school.aspx,Hingham,https://www.schooldigger.com/go/MA/district/06090/search.aspx,17 Union Street,Hingham,https://www.schooldigger.com/go/MA/city/Hingham/search.aspx,2043,Plymouth County,(781) 741-1560,9,12,Yes,No,No,No,1205,95.8,12.5,,1.8%,0.1%,3.5%,3.6%,0.0%,3.2%,87.4%,94.9
9,Medfield Senior High,https://www.schooldigger.com/go/MA/schools/0753001157/school.aspx,Medfield,https://www.schooldigger.com/go/MA/district/07530/search.aspx,88R South Street,Medfield,https://www.schooldigger.com/go/MA/city/Medfield/search.aspx,2052,Norfolk County,(508) 359-4367,9,12,Yes,No,No,No,750,60.2,12.4,,0.8%,0.3%,5.1%,3.1%,0.0%,4.3%,86.5%,94.6
10,Hopkinton High,https://www.schooldigger.com/go/MA/schools/0633000920/school.aspx,Hopkinton,https://www.schooldigger.com/go/MA/district/06330/search.aspx,90 Hayden Rowe Street,Hopkinton,https://www.schooldigger.com/go/MA/city/Hopkinton/search.aspx,1748,Middlesex County,(508) 497-9820,9,12,No,No,No,No,1212,84.7,14.3,,0.9%,0.4%,18.8%,4.2%,0.0%,3.5%,71.9%,94.6
11,Westford Academy,https://www.schooldigger.com/go/MA/schools/1266002081/school.aspx,Westford,https://www.schooldigger.com/go/MA/district/12660/search.aspx,30 Patten Road,Westford,https://www.schooldigger.com/go/MA/city/Westford/search.aspx,1886,Middlesex County,(978) 692-5570,9,12,No,No,No,No,1567,117.6,13.3,,1.3%,0.2%,29.5%,2.5%,0.1%,3.1%,63.4%,94.4
12,Dover-Sherborn Regional High,https://www.schooldigger.com/go/MA/schools/0429000574/school.aspx,Dover-Sherborn,https://www.schooldigger.com/go/MA/district/04290/search.aspx,9 Junction Street,Dover,https://www.schooldigger.com/go/MA/city/Dover/search.aspx,2030,Norfolk County,(508) 785-1730,9,12,No,No,No,No,657,52.9,12.4,,3.7%,0.3%,11.1%,5.5%,0.0%,5.2%,74.0%,94.3
