School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
International Academy of Macomb,https://www.schooldigger.com/go/MI/schools/0957007865/school.aspx,Chippewa Valley Schools,https://www.schooldigger.com/go/MI/district/09570/search.aspx,42755 Romeo Plank,Clinton Twp,https://www.schooldigger.com/go/MI/city/Clinton+Twp/search.aspx,48038,Macomb County,(586) 723-7200,No,No,Yes,No,477,5.5,86.7,22,8,0.2,23.1,4,0.4,3.8,60.6,99.9
International Academy,https://www.schooldigger.com/go/MI/schools/8088001588/school.aspx,Oakland Schools,https://www.schooldigger.com/go/MI/district/80880/search.aspx,1020 East Square Lake Rd,Bloomfield Hills,https://www.schooldigger.com/go/MI/city/Bloomfield+Hills/search.aspx,48304,Oakland County,(248) 341-5905,No,No,No,No,1524,0,,12.7,3,0.3,42.7,3,0,4.2,46.9,99.9
Community High School,https://www.schooldigger.com/go/MI/schools/0282004033/school.aspx,Ann Arbor Public Schools,https://www.schooldigger.com/go/MI/district/02820/search.aspx,401 North Division St,Ann Arbor,https://www.schooldigger.com/go/MI/city/Ann+Arbor/search.aspx,48104,Washtenaw County,(734) 994-2021,No,No,No,No,524,30.9,16.9,10.1,5,0.2,2.5,7.4,0,9.5,75.4,99
Skyline High School,https://www.schooldigger.com/go/MI/schools/0282007761/school.aspx,Ann Arbor Public Schools,https://www.schooldigger.com/go/MI/district/02820/search.aspx,2552 North Maple Rd,Ann Arbor,https://www.schooldigger.com/go/MI/city/Ann+Arbor/search.aspx,48103,Washtenaw County,(734) 994-6515,No,No,Yes,No,1386,75.8,18.2,17.5,12.5,0.3,10.5,7.6,0.1,10.2,58.7,99
Wylie E Groves High School,https://www.schooldigger.com/go/MI/schools/0585004226/school.aspx,Birmingham Public Schools,https://www.schooldigger.com/go/MI/district/05850/search.aspx,20500 West 13 Mile Rd,Beverly Hills,https://www.schooldigger.com/go/MI/city/Beverly+Hills/search.aspx,48025,Oakland County,(248) 203-3520,No,No,Yes,No,1179,73.6,16,11.8,23.2,0.5,2.9,3.6,0,5.4,64.5,98.8
Ernest W Seaholm High School,https://www.schooldigger.com/go/MI/schools/0585004217/school.aspx,Birmingham Public Schools,https://www.schooldigger.com/go/MI/district/05850/search.aspx,2436 West Lincoln St,Birmingham,https://www.schooldigger.com/go/MI/city/Birmingham/search.aspx,48009,Oakland County,(248) 203-3702,No,No,Yes,No,1288,91.6,14,6.6,2.5,0.2,4.6,2.6,0.2,4.8,85.2,98.5
Washtenaw Technical Middle College,https://www.schooldigger.com/go/MI/schools/0016401005/school.aspx,Washtenaw Technical Middle College,https://www.schooldigger.com/go/MI/district/00164/search.aspx,4800 East Huron River Dr,Ann Arbor,https://www.schooldigger.com/go/MI/city/Ann+Arbor/search.aspx,48105,Washtenaw County,(734) 973-3410,No,Yes,No,No,797,22,36.1,25.6,10.3,0.5,6.5,0.3,0.1,8.5,73.8,98.4
Novi High School,https://www.schooldigger.com/go/MI/schools/2613006263/school.aspx,Novi Community School District,https://www.schooldigger.com/go/MI/district/26130/search.aspx,24062 Taft Rd,Novi,https://www.schooldigger.com/go/MI/city/Novi/search.aspx,48375,Oakland County,(248) 449-1500,No,No,No,No,2054,112.2,18.3,9.9,8.6,0,43.1,4.5,0,2.9,40.8,98.3
Troy High School,https://www.schooldigger.com/go/MI/schools/3426006966/school.aspx,Troy School District,https://www.schooldigger.com/go/MI/district/34260/search.aspx,4777 Northfield Parkway,Troy,https://www.schooldigger.com/go/MI/city/Troy/search.aspx,48098,Oakland County,(248) 823-2700,No,No,No,No,2107,110.5,19,10.5,4.2,0.1,44.3,4.2,0.1,3.2,43.9,98.3
Grosse Pointe South High School,https://www.schooldigger.com/go/MI/schools/2574006220/school.aspx,Grosse Pointe Public Schools,https://www.schooldigger.com/go/MI/district/25740/search.aspx,11 Grosse Pointe Blvd,Grosse Pointe Farms,https://www.schooldigger.com/go/MI/city/Grosse+Pointe+Farms/search.aspx,48236,Wayne County,(313) 432-3500,No,No,No,No,1393,78.5,17.7,10.9,6.4,0.3,1.7,4.7,0,2.9,84.1,98.1
