School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Sachem High School North,https://www.schooldigger.com/go/NY/schools/2535004567/school.aspx,Sachem Central School District,https://www.schooldigger.com/go/NY/district/25350/search.aspx,212 Smith Rd,Lake Ronkonkoma,https://www.schooldigger.com/go/NY/city/Lake+Ronkonkoma/search.aspx,11779,Suffolk County,(631) 471-1400,No,No,No,No,2053,171.5,11.9,25.2,3.4,0.1,6.5,14.1,0.3,1.7,73.9,88.6
Oyster Bay High School,https://www.schooldigger.com/go/NY/schools/2229003147/school.aspx,Oyster Bay-East Norwich Central School District,https://www.schooldigger.com/go/NY/district/22290/search.aspx,150 E Main St,Oyster Bay,https://www.schooldigger.com/go/NY/city/Oyster+Bay/search.aspx,11771,Nassau County,(516) 624-6524,No,No,No,No,713,70.7,10,29.9,2.4,0.4,3.9,28.9,0,2.5,61.9,87.2
Babylon Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/0372000121/school.aspx,Babylon Union Free School District,https://www.schooldigger.com/go/NY/district/03720/search.aspx,50 Railroad Ave,Babylon,https://www.schooldigger.com/go/NY/city/Babylon/search.aspx,11702,Suffolk County,(631) 893-7920,No,No,No,No,703,71.9,9.7,19.1,2.7,0,4.3,14.1,0,2.1,76.8,86.6
Jericho Senior High School,https://www.schooldigger.com/go/NY/schools/1581001370/school.aspx,Jericho Union Free School District,https://www.schooldigger.com/go/NY/district/15810/search.aspx,99 Cedar Swamp Rd,Jericho,https://www.schooldigger.com/go/NY/city/Jericho/search.aspx,11753,Nassau County,(516) 203-3610,Yes,No,No,No,1205,104.2,11.5,12.9,2.1,0.1,60.8,3.8,0.2,1.1,31.9,86.6
Herricks High School,https://www.schooldigger.com/go/NY/schools/1428001177/school.aspx,Herricks Union Free School District,https://www.schooldigger.com/go/NY/district/14280/search.aspx,100 Shelter Rock Rd,New Hyde Park,https://www.schooldigger.com/go/NY/city/New+Hyde+Park/search.aspx,11040,Nassau County,(516) 305-8700,No,No,No,No,1347,116.1,11.6,16,0.8,0,65.8,6.9,0.1,0.8,25.5,86.5
Rye Neck Senior High School,https://www.schooldigger.com/go/NY/schools/2529003496/school.aspx,Rye Neck Union Free School District,https://www.schooldigger.com/go/NY/district/25290/search.aspx,300 Hornidge Rd,Mamaroneck,https://www.schooldigger.com/go/NY/city/Mamaroneck/search.aspx,10543,Westchester County,(914) 777-4800,Yes,No,No,No,480,40.4,11.8,17.3,3.8,0,5.2,22.5,0.4,4.6,63.5,86
Amherst Central High School,https://www.schooldigger.com/go/NY/schools/0292000061/school.aspx,Amherst Central School District,https://www.schooldigger.com/go/NY/district/02920/search.aspx,4301 Main St,Amherst,https://www.schooldigger.com/go/NY/city/Amherst/search.aspx,14226,Erie County,(716) 362-8100,No,No,No,No,882,74.3,11.8,29.3,13.7,0.3,8.6,5.7,0,4.3,67.3,85.6
Brighton High School,https://www.schooldigger.com/go/NY/schools/0546000272/school.aspx,Brighton Central School District,https://www.schooldigger.com/go/NY/district/05460/search.aspx,1150 Winton Rd S,Rochester,https://www.schooldigger.com/go/NY/city/Rochester/search.aspx,14618,Monroe County,(585) 242-5000,No,No,No,No,1237,100.1,12.3,19.9,7.3,0,9.9,5.7,0,7.4,69.6,85.4
Jamesville-Dewitt High School,https://www.schooldigger.com/go/NY/schools/0909000697/school.aspx,Jamesville-Dewitt Central School District,https://www.schooldigger.com/go/NY/district/09090/search.aspx,6845 Edinger Dr,De Witt,https://www.schooldigger.com/go/NY/city/De+Witt/search.aspx,13214,Onondaga County,(315) 445-8340,No,No,No,No,931,70.3,13.2,21.5,7,0.3,9.3,3.3,0,3.7,76.4,85.3
Pearl River High School,https://www.schooldigger.com/go/NY/schools/2256003178/school.aspx,Pearl River Union Free School District,https://www.schooldigger.com/go/NY/district/22560/search.aspx,275 E Central Ave,Pearl River,https://www.schooldigger.com/go/NY/city/Pearl+River/search.aspx,10965,Rockland County,(845) 620-3800,Yes,No,No,No,992,80.7,12.2,13.6,1.9,0.1,5.5,14.6,0,0.8,77,85.3
