Leap!,Yellowbird,Fisherman's Friends,Tremors 5:  Bloodline,How the Grinch Stole Christmas,Red Dawn,The Black Prince,Howards End,The Waterboy
The Brothers Grimm,Let It Snow,Penguins of Madagascar: The Movie,Little Monsters,Bigger Fatter Liar,Dragonheart 3: The Sorcerer,Monster-in-Law,The Forest,The Adventures of Sharkboy and Lavagirl
As Good as It Gets,Open Season,National Lampoon's Loaded Weapon 1,Leap Year,New York Minute,3 Days to Kill,The Forest,Get Santa,Monster House
Stranger than Fiction,Planet 51,National Lampoon's Loaded Weapon 1,A Night at the Roxbury,The Little Mermaid,The Good Catholic,Enola Holmes,Let It Snow,The Rugrats Movie
Garfield's Pet Force,Poseidon,The Lake House,The Social Dilemma,The Young Messiah,K-19: The Widowmaker,Middle School: The Worst Years of My Life,Rumor Has It,The Smurfs
Marvel's Hulk: Where Monsters Dwell,Nothing to Lose 2,Océans,Angels & Demons,Logan's Run,Speech & Debate,The Muppets,The Nutcracker and the Four Realms,Balto 2: Wolf Quest
Vampires vs. the Bronx,Becoming Jane,Jingle Jangle: A Christmas Journey,Hitch,The Reliant,Honey: Rise Up and Dance,Ferris Bueller's Day Off,S.W.A.T.,Peter Rabbit
Underdogs,Dragonheart,Flash of Genius,Flash of Genius,Mary Poppins Returns,I Don't Know How She Does It,An American Tail: Fievel Goes West,Garfield's Pet Force,The Dark Crystal
Blinky Bill: The Movie,April and the Extraordinary World,Froning: The Fittest Man in History,The Incredibles 2,Undercover Grandpa,God Bless the Broken Road,Arctic Dogs,Wadjda,Lockout
Indiana Jones and the Raiders of the Lost Ark,Undercover Grandpa,Red Dawn,How to Train Your Dragon 2,Blinky Bill: The Movie,Pup Star: Better 2Gether,Igor,Æon Flux,The Mask of Zorro
Before the Flood,Inequality for All,An American Tail,The Lamb,The Green Hornet,Avengers: Infinity War,The Pink Panther,Easy A,What Lies Beneath
Dark Skies,Hairspray,Ride Like a Girl,National Lampoon's Loaded Weapon 1,Open Season,Boy and the World,Suffragette,Ghost Rider,The Social Network
The Mask of Zorro,The Prom,Speech & Debate,The Indian in the Cupboard,Charlie's Angels: Full Throttle,Woody Woodpecker,Rocky,Get Smart,The Signal
Blackfish,Bee Movie,The Sea of Trees,Cirque du Freak: The Vampire's Assistant,Yellowbird,Star Wars: Episode VIII: The Last Jedi,How to Train Your Dragon 2,Bennett's War,My Girl
Christmas with the Kranks,The Brothers Grimm,The Last Exorcism,Charlie and the Chocolate Factory,Searching for Bobby Fischer,Monty Python and the Holy Grail,Philadelphia,Nights in Rodanthe,Cloudy with a Chance of Meatballs
The Dukes of Hazzard,The Next Karate Kid,K-19: The Widowmaker,Cloudy with a Chance of Meatballs 2,Garfield's Pet Force,Hook,Solo: A Star Wars Story (Spanish Version),Hop,Hotel Transylvania 3: Summer Vacation
Igor,Hunt for the Wilderpeople,Willy Wonka & the Chocolate Factory,Footprints: The Path of Your Life,Mean Girls 2,Benchwarmers 2: Breaking Balls,Mirror Mirror,Killers,An American Tail
Big Stone Gap,Austin Powers in Goldmember,The Nut Job,A Witches' Ball,The Car,The Naked Gun 2 1/2: The Smell of Fear,Arthur Christmas,East Side Sushi,The Flintstones in Viva Rock Vegas
Ocean's Thirteen,Leap Year,17 Again,Igor,The Princess and the Frog,Hop,Amandla! A Revolution in Four Part Harmony,The Founder,Cloudy with a Chance of Meatballs 2
I Am Not Your Negro,Wish Upon a Unicorn,Click,Menashe,Good Burger,Middle School: The Worst Years of My Life,"Faith, Hope & Love",Clash of the Titans,Charlotte's Web
No Reservations,Becoming,Atlas Shrugged: Part II,Walking Out,Playing for Keeps,Bully,The Darkness,A Shaun the Sheep Movie: Farmageddon,Get Santa
