Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
1,Academy For Information Technology,https://www.schooldigger.com/go/NJ/schools/1804006134/school.aspx,Union County Vocational-Technical School District,https://www.schooldigger.com/go/NJ/district/18040/search.aspx,1776 Raritan Road,Scotch Plains,https://www.schooldigger.com/go/NJ/city/Scotch+Plains/search.aspx,7076,Union County,(908) 889-8288,9,12,No,No,(n/a),No,284,14.9,18.9,0.09,0.08,0.00,0.25,0.20,0.01,0.01,0.45,95.5
2,Union County Magnet High School,https://www.schooldigger.com/go/NJ/schools/1804000214/school.aspx,Union County Vocational-Technical School District,https://www.schooldigger.com/go/NJ/district/18040/search.aspx,1776 Raritan Road,Scotch Plains,https://www.schooldigger.com/go/NJ/city/Scotch+Plains/search.aspx,7076,Union County,(908) 889-8288,9,12,No,No,(n/a),No,303,13.4,22.5,0.11,0.08,0.00,0.35,0.16,0.00,0.01,0.40,95.5
3,Middlesex County Vocational Academy Math Science &Engineering Techn,https://www.schooldigger.com/go/NJ/schools/1008000395/school.aspx,Middlesex County Vocational and Technical School District,https://www.schooldigger.com/go/NJ/district/10080/search.aspx,100 Technology Drive,Edison,https://www.schooldigger.com/go/NJ/city/Edison/search.aspx,8837,Middlesex County,(732) 452-2600,9,12,No,No,(n/a),No,159,12,13.2,0.02,0.01,0.00,0.84,0.06,0.00,0.01,0.09,95.3
4,Academy For Allied Health Sciences,https://www.schooldigger.com/go/NJ/schools/1804000584/school.aspx,Union County Vocational-Technical School District,https://www.schooldigger.com/go/NJ/district/18040/search.aspx,1776 Raritan Road,Scotch Plains,https://www.schooldigger.com/go/NJ/city/Scotch+Plains/search.aspx,7076,Union County,(908) 889-8288,9,12,No,No,(n/a),No,308,13.6,22.5,0.13,0.13,0.00,0.27,0.22,0.00,0.01,0.36,95.1
5,Academy for Performing Arts,https://www.schooldigger.com/go/NJ/schools/1072003439/school.aspx,Morris County Vocational School District,https://www.schooldigger.com/go/NJ/district/10720/search.aspx,50 Knoll Drive,Rockaway,https://www.schooldigger.com/go/NJ/city/Rockaway/search.aspx,7866,Morris County,(973) 664-2201,9,12,No,No,(n/a),No,34,,,0.00,0.03,0.00,0.06,0.09,0.00,0.03,0.79,94.8
6,Communications High School,https://www.schooldigger.com/go/NJ/schools/1750000409/school.aspx,Monmouth County Vocational School District,https://www.schooldigger.com/go/NJ/district/17500/search.aspx,1740 New Bedford Road,Wall,https://www.schooldigger.com/go/NJ/city/Wall/search.aspx,7719,Monmouth County,(732) 681-1010,9,12,No,No,(n/a),No,312,30,10.4,0.01,0.01,0.00,0.08,0.05,0.00,0.03,0.84,94.8
7,Monmouth County Academy of Allied Health and Science,https://www.schooldigger.com/go/NJ/schools/1750000163/school.aspx,Monmouth County Vocational School District,https://www.schooldigger.com/go/NJ/district/17500/search.aspx,2325 Heck Avenue,Neptune,https://www.schooldigger.com/go/NJ/city/Neptune/search.aspx,7753,Monmouth County,(732) 775-0058,9,12,No,No,(n/a),No,296,26.5,11.1,0.02,0.03,0.00,0.31,0.03,0.01,0.04,0.58,94.1
8,Bergen County Academies,https://www.schooldigger.com/go/NJ/schools/0147000250/school.aspx,Bergen County Vocational Technical School District,https://www.schooldigger.com/go/NJ/district/01470/search.aspx,200 Hackensack Avenue,Hackensack,https://www.schooldigger.com/go/NJ/city/Hackensack/search.aspx,7601,Bergen County,(201) 343-6000,9,12,No,No,(n/a),No,1098,95.8,11.4,0.05,0.02,0.00,0.51,0.08,0.01,0.00,0.38,93.7
9,Biotechnology High School,https://www.schooldigger.com/go/NJ/schools/1750006121/school.aspx,Monmouth County Vocational School District,https://www.schooldigger.com/go/NJ/district/17500/search.aspx,5000 Kozloski Road,Freehold,https://www.schooldigger.com/go/NJ/city/Freehold/search.aspx,7728,Monmouth County,(732) 431-7942,9,12,No,No,(n/a),No,317,26,12.1,0.02,0.01,0.01,0.51,0.02,0.00,0.03,0.43,93.5
10,Hunterdon County Academies,https://www.schooldigger.com/go/NJ/schools/0005003405/school.aspx,Hunterdon County Vocational School District,https://www.schooldigger.com/go/NJ/district/00050/search.aspx,1445 State Route 31,Annandale,https://www.schooldigger.com/go/NJ/city/Annandale/search.aspx,8801,Hunterdon County,(908) 788-1119,9,12,No,No,(n/a),No,181,2.1,86.1,0.00,0.02,0.00,0.11,0.04,0.00,0.06,0.77,93.5
