School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent of  Unemployment,Percent Parents with Masters and above education,Percent parents with less than High School education,Percent Home Incomes with less than Median income,Home Prices Ranking,Community Health Ranking,Standard Score
North High School,https://www.schooldigger.com/go/OK/schools/1059001979/school.aspx,Edmond,https://www.schooldigger.com/go/OK/district/10590/search.aspx,215 West Danforth Road,Edmond,https://www.schooldigger.com/go/OK/city/Edmond/search.aspx,73003,Oklahoma County,(405) 340-2875,9,12,No,No,(n/a),No,2416,123.7,19.5,15.6,7,2.4,4.1,9.8,0.3,7,69.5,99.6
Norman North High School,https://www.schooldigger.com/go/OK/schools/2172002118/school.aspx,Norman,https://www.schooldigger.com/go/OK/district/21720/search.aspx,1809 Stubbeman Avenue,Norman,https://www.schooldigger.com/go/OK/city/Norman/search.aspx,73069,Cleveland County,(405) 366-5954,9,12,No,No,(n/a),No,2099,117.3,17.8,30.9,5,4,4.5,13.1,0.1,11.9,61.4,99.4
Warner High School,https://www.schooldigger.com/go/OK/schools/3165029708/school.aspx,Warner,https://www.schooldigger.com/go/OK/district/31650/search.aspx,1012 5th Ave,Warner,https://www.schooldigger.com/go/OK/city/Warner/search.aspx,74469,Muskogee County,(918) 463-5172,9,12,No,No,(n/a),No,208,15.2,13.6,59.6,1,50,0,1,0,8.2,39.9,98.2
Booker T. Washington High School,https://www.schooldigger.com/go/OK/schools/3024001583/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,1514 East Zion Street,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74106,Tulsa County,(918) 925-1000,9,12,Yes,No,(n/a),No,1327,63.5,20.8,54.2,27.4,5.4,3.2,19.8,0,9.6,34.7,98.2
Memorial High School,https://www.schooldigger.com/go/OK/schools/1059000474/school.aspx,Edmond,https://www.schooldigger.com/go/OK/district/10590/search.aspx,1000 East 15th Street,Edmond,https://www.schooldigger.com/go/OK/city/Edmond/search.aspx,73013,Oklahoma County,(405) 340-2850,9,12,No,No,(n/a),No,2301,122.6,18.7,18.7,7.1,1.9,3.5,13.6,0.2,8.4,65.2,98.2
Amber-Pocasset High School,https://www.schooldigger.com/go/OK/schools/0291029680/school.aspx,Amber-Pocasset,https://www.schooldigger.com/go/OK/district/02910/search.aspx,401 East Main Street,Amber,https://www.schooldigger.com/go/OK/city/Amber/search.aspx,73004,Grady County,(405) 224-5768,9,12,No,No,(n/a),No,180,14,12.7,36.1,0.6,3.9,0,11.7,0.6,5.6,77.8,97.8
Sequoyah High School,https://www.schooldigger.com/go/OK/schools/2739001446/school.aspx,Sequoyah,https://www.schooldigger.com/go/OK/district/27390/search.aspx,16401 South 4180 Road,Claremore,https://www.schooldigger.com/go/OK/city/Claremore/search.aspx,74017,Rogers County,(918) 341-0642,9,12,No,No,(n/a),No,320,24.8,12.8,30.3,0.6,34.1,0.6,4.7,0,13.1,46.9,97.1
Dove Science Academy High School,https://www.schooldigger.com/go/OK/schools/0079902858/school.aspx,Dove Schools Of Okc,https://www.schooldigger.com/go/OK/district/00799/search.aspx,919 NW 23rd,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73106,Oklahoma County,(405) 524-9762,9,12,Yes,Yes,(n/a),No,343,15.3,22.3,82.2,6.4,0.6,1.7,85.7,0,0.3,5.2,96.8
Plainview High School,https://www.schooldigger.com/go/OK/schools/2424001278/school.aspx,Plainview,https://www.schooldigger.com/go/OK/district/24240/search.aspx,1140 South Plainview Road,Ardmore,https://www.schooldigger.com/go/OK/city/Ardmore/search.aspx,73401,Carter County,(580) 223-5877,9,12,No,No,(n/a),No,404,26,15.5,26,1.2,11.1,4,10.4,0,11.6,61.6,95.6
Chandler High School,https://www.schooldigger.com/go/OK/schools/0729000283/school.aspx,Chandler,https://www.schooldigger.com/go/OK/district/07290/search.aspx,901 South CHS Street,Chandler,https://www.schooldigger.com/go/OK/city/Chandler/search.aspx,74834,Lincoln County,(405) 258-1269,9,12,No,No,(n/a),No,324,21.3,15.1,48.8,2.5,4.9,0.6,7.7,0,32.4,51.9,95.5
