 Number of team members, Deadline in Days, Task complexity, Project type, Skill level, Communication frequency, Number of tasks, Team motivation, Number of stakeholders, Number of meetings, Decision making, Team experience in years, Number of changes, Project duration  in days, Project complexity,Project Completion Time
5,40, Low, Web development, Expert, Daily,5, High,2,0, Fast,10,0,30, Low,36
10,60, High, Mobile app, Advanced, Weekly,10, Medium,5,2, Slow,5,1,50, High,58
8,55, Medium, Desktop app, Beginner, Daily,8, Low,3,1, Moderate,7,2,40, Medium,48
4,45, High, Web development, Expert, Weekly,4, High,4,2, Fast,8,3,60, High,74
6,45, Low, Mobile app, Advanced, Daily,6, Medium,2,0, Slow,10,0,30, Low,34
9,50, High, Desktop app, Beginner, Weekly,9, Low,5,2, Moderate,5,1,50, High,52
13,65, Low, Web development, Expert, Daily,13, High,3,1, Fast,7,2,40, Low,44
11,70, Medium, Mobile app, Advanced, Weekly,11, Medium,4,2, Slow,8,3,60, Medium,68
5,40, Low, Web development, Expert, Daily,5, High,2,0, Fast,10,0,30, Low,38
7,50, Medium, Desktop app, Beginner, Weekly,7, Low,5,2, Moderate,5,1,50, Medium,56
4,30, High, Mobile app, Advanced, Daily,4, Medium,3,1, Slow,7,2,40, High,42
8,55, Low, Web development, Expert, Weekly,8, High,4,2, Fast,8,3,60, Low,64
10,55, Medium, Desktop app, Beginner, Daily,10, Low,2,0, Moderate,10,0,30, Medium,32
9,60, Low, Mobile app, Expert, Weekly,9, High,5,2, Fast,5,1,50, Low,54
6,65, High, Web development, Advanced, Daily,6, Medium,3,1, Slow,7,2,40, High,46
14,75, Medium, Mobile app, Beginner, Weekly,14, Low,4,2, Moderate,8,3,60, Medium,70
12,80, High, Desktop app, Expert, Daily,12, High,2,0, Fast,10,0,30, High,36
7,40, Low, Web development, Advanced, Weekly,7, Medium,5,2, Slow,5,1,50, Low,58
5,30, Medium, Desktop app, Beginner, Daily,5, Low,3,1, Moderate,7,2,40, Medium,44
10,50, High, Web development, Expert, Weekly,10, High,4,2, Fast,8,3,60, High,62
11,56, Low, Web development, Expert, Daily,4, High,4,2, Fast,7,0,35, Low,41
13,36, High, Mobile app, Advanced, Weekly,14, Medium,2,0, Slow,9,2,59, High,70
4,46, Medium, Desktop app, Beginner, Daily,14, Low,2,0, Moderate,5,3,32, Medium,47
8,66, High, Web development, Expert, Weekly,5, High,4,0, Fast,6,2,43, High,42
13,70, Low, Mobile app, Advanced, Daily,7, Medium,3,2, Slow,6,1,42, Low,52
