rank,name,founded,Address,city,state,zip,revenue,Growth,Headcount,Industry,Raw_revenue
1,Skillz,1/1/2012,1061 Market Street 6th Floor,San Francisco,CA,94103,54.2 million,50059,58,Software,54243859
2,EnviroSolar Power,1/1/2012,845 Foch st ,Fort Worth,TX,76107,37.4 million,36065,85,Energy,37416013
3,Gametime,1/1/2013,799 Market St. Suite 700,San Francisco,CA,94107,48.8 million,34021,75,Consumer Products & Services,48823814
4,Club Pilates Franchise,1/1/2007,3185 Pullman Street ,Costa Mesa,CA,92626,26.8 million,21319,55,Consumer Products & Services,26774005
5,Halo Top Creamery,1/1/2012,4470 W Sunset Blvd #90182 ,Los Angeles,CA,90027,49.1 million,20944,10,Food & Beverage,49116009
6,Small Business Owners of America,1/1/2011,2988 N High St. Suite A,Columbus,OH,43202,19.7 million,19352,15,Financial Services,19702839
7,automotiveMastermind,1/1/2012,"123 William Street, Suite 1505 ",New York City,NY,10038,23.2 million,17675,102,Software,23199702
8,Liftoff,1/1/2012,555 Bryant Street Suite #133 ,Palo Alto,CA,94301,59.6 million,16981,85,Advertising & Marketing,59576810
9,Greenspire,1/1/2012,11400 W. Olympic Blvd. #1530 11400 W. Olympic Blvd. #1530,Los Angeles,CA,90064,41.7 million,14429,150,Energy,41735466
10,FormulaFolio Investments,1/1/2011,89 Ionia Ave. NW Suite 600,Grand Rapids,MI,49503,17.2 million,13927,43,Financial Services,17228847
11,Single Serve Beverage Distribution,1/1/2012,29 Riverside ave ,Newark,NJ,7104,13.8 million,13739,30,Food & Beverage,13839268
12,ShipHawk,1/1/2012,26 Castilian Dr Suite C,Goleta,CA,93117,13.1 million,13666,23,Logistics & Transportation,13097915
13,Adva-Net,1/1/2012,6920 Professional Parkway East ,Lakewood Ranch,FL,34240,24.4 million,13462,26,Health,24378724
14,DashBid,1/1/2010,1460 Broadway 4th floor,New York City,NY,10036,25.8 million,12979,28,Advertising & Marketing,25764692
15,Forward Financing,1/1/2012,"36 Bromfield Street, Suite 210 ",Boston,MA,2108,28.3 million,12893,60,Financial Services,28305078
16,Solera Specialty Pharmacy,1/1/2012,2100 Park Central Blvd N Suite 300,Pompano Beach,FL,33064,59.2 million,12503,22,Health,59184428
17,Strike Social,1/1/2013,1 E. Upper Wacker Drive Suite 1950,Chicago,IL,60601,46.5 million,12423,100,Advertising & Marketing,46497334
18,Reverb.com,1/1/2012,3345 N Lincoln Ave ,Chicago,IL,60657,15.7 million,12327,116,Retail,15684275
19,Excel Impact,1/1/2013,"445 W. Liberty St., Suite 215",Medina,OH,44256,16.8 million,11369,6,Insurance,16808843
20,DGC International,1/1/2010,"1604 Spring Hill Rd, Suite 110 ",Vienna,VA,22182,32.9 million,10999,10,Government Services,32921995
21,Shofur,1/1/2013,3525 Piedmont Road NE Bldg 5-210,Atlanta,GA,30305,12.1 million,10448,14,Logistics & Transportation,12130000
22,GrowthPlay,1/1/2013,"121 West Wacker Drive Suite, 1750",Chicago,IL,60601,29.3 million,9935,140,Business Products & Services,29301613
23,CalCom Solar,1/1/2012,635 S. Atwood ,Visalia,CA,93277,59.3 million,9675,59,Energy,59312512
24,ION Solar,1/1/2013,4801 University Ave Suite 900,Provo,UT,84604,65.7 million,9507,476,Energy,65744797
25,The Penny Hoarder,1/1/2010,"300 1st Avenue S, Suite #400 ",St. Petersburg,FL,33701,20.5 million,9396,49,Media,20483362
26,Matterport,1/1/2011,352 East Java Drive ,Sunnyvale,CA,94089,19.2 million,9282,174,Media,19179000
27,Legend Solar,1/1/2011,204 Playa Della Rosita ,Washington,UT,84780,29.8 million,9222,102,Energy,29784985
28,SaviLinx,1/1/2013,74 Orion Street ,Brunswick,ME,4011,11.4 million,9204,338,Business Products & Services,11384302
29,TechAnax,1/1/2012,14000 Crown Court Suite 206,Woodbridge,VA,22193,15.1 million,9119,12,Government Services,15053774
30,Spar Information Systems,1/1/2012,7800 Dallas Pkwy Ste 120 ,Plano,TX,75024,19.1 million,9114,400,IT Services,19090817
31,Big Block Realty,1/1/2012,2820 Camino Del Rio South #314 ,San Diego,CA,92018,28.9 million,8829,12,Real Estate,28869454
32,RelationEdge,1/1/2013,1917 Palomar Oaks Way Suite 310,Carlsbad,CA,92008,10.1 million,8208,69,Business Products & Services,10107273
