Offer_Id,Customer_Id,Time Spent,Starbucks App,Menu Choices,# Of surrounding coffee shops,Web Ad,Email Ad,Social Ad,Mobile Ad,Wash Rooms,Informational,Discount,Gender,Age,Became_Member_On,Income, Total_Amount 
B3,78afa995795e4d85b5d9ceeca43f5fef,38,1,47,6,1,1,0,1,1,0,0,0,75,5/9/17,100000, $39.00 
I2,78afa995795e4d85b5d9ceeca43f5fef,38,0,31,4,0,1,1,1,0,1,0,0,75,5/9/17,100000, $61.00 
B1,78afa995795e4d85b5d9ceeca43f5fef,62,1,37,12,0,1,1,1,1,0,0,0,75,5/9/17,100000, $64.00 
B4,78afa995795e4d85b5d9ceeca43f5fef,56,1,40,2,1,1,1,1,1,0,0,0,75,5/9/17,100000, $13.00 
D4,e2127556f4f64592b11af22de27a7932,14,0,35,13,1,1,0,1,0,0,1,1,68,4/26/18,70000, $18.00 
I1,e2127556f4f64592b11af22de27a7932,77,0,41,17,1,1,0,1,0,1,0,1,68,4/26/18,70000, $11.00 
B3,e2127556f4f64592b11af22de27a7932,56,1,43,15,1,1,0,1,1,0,0,1,68,4/26/18,70000, $55.00 
D3,e2127556f4f64592b11af22de27a7932,57,1,38,13,1,1,1,1,0,0,1,1,68,4/26/18,70000, $84.00 
B4,389bc3fa690240e798340f5a15918d5c,52,1,45,18,1,1,1,1,1,0,0,1,65,2/9/18,53000, $10.00 
B3,389bc3fa690240e798340f5a15918d5c,39,0,28,6,1,1,0,1,1,0,0,1,65,2/9/18,53000, $8.00 
D4,389bc3fa690240e798340f5a15918d5c,72,1,27,20,1,1,0,1,0,0,1,1,65,2/9/18,53000, $41.00 
B3,389bc3fa690240e798340f5a15918d5c,42,1,48,16,1,1,0,1,1,0,0,1,65,2/9/18,53000, $27.00 
B4,389bc3fa690240e798340f5a15918d5c,21,1,25,16,1,1,1,1,1,0,0,1,65,2/9/18,53000, $25.00 
D3,389bc3fa690240e798340f5a15918d5c,26,1,40,19,1,1,1,1,0,0,1,1,65,2/9/18,53000, $63.00 
I1,2eeac8d8feae4a8cad5a6af0499a211d,60,0,23,10,1,1,0,1,0,1,0,1,58,11/11/17,51000, $13.00 
D2,2eeac8d8feae4a8cad5a6af0499a211d,43,0,38,6,1,1,1,1,0,0,1,1,58,11/11/17,51000, $10.00 
D3,2eeac8d8feae4a8cad5a6af0499a211d,82,1,48,18,1,1,1,1,0,0,1,1,58,11/11/17,51000, $31.00 
D1,aa4862eba776480b8bb9c68455b8c2e1,27,1,47,9,1,1,0,0,0,0,1,0,61,9/11/17,57000, $50.00 
B2,aa4862eba776480b8bb9c68455b8c2e1,54,1,32,11,1,1,1,1,1,0,0,0,61,9/11/17,57000, $26.00 
I2,aa4862eba776480b8bb9c68455b8c2e1,54,0,44,5,0,1,1,1,0,1,0,0,61,9/11/17,57000, $57.00 
B1,aa4862eba776480b8bb9c68455b8c2e1,7,1,46,17,0,1,1,1,1,0,0,0,61,9/11/17,57000, $71.00 
B4,aa4862eba776480b8bb9c68455b8c2e1,39,1,44,2,1,1,1,1,1,0,0,0,61,9/11/17,57000, $26.00 
D1,31dda685af34476cad5bc968bdb01c53,44,0,39,19,1,1,0,0,0,0,1,0,62,2/11/16,71000, $6.00 
D3,31dda685af34476cad5bc968bdb01c53,52,1,21,8,1,1,1,1,0,0,1,0,62,2/11/16,71000, $7.00 
D2,31dda685af34476cad5bc968bdb01c53,56,1,35,2,1,1,1,1,0,0,1,0,62,2/11/16,71000, $51.00 
D2,31dda685af34476cad5bc968bdb01c53,47,1,30,11,1,1,1,1,0,0,1,0,62,2/11/16,71000, $69.00 
D2,31dda685af34476cad5bc968bdb01c53,64,1,28,12,1,1,1,1,0,0,1,0,62,2/11/16,71000, $84.00 
D3,31dda685af34476cad5bc968bdb01c53,22,0,21,18,1,1,1,1,0,0,1,0,62,2/11/16,71000, $28.00 
B1,4b0da7e80e5945209a1fdddfe813dbe0,18,0,36,1,0,1,1,1,1,0,0,1,64,9/9/17,100000, $22.00 
D1,4b0da7e80e5945209a1fdddfe813dbe0,40,1,27,6,1,1,0,0,0,0,1,1,64,9/9/17,100000, $10.00 
D1,4b0da7e80e5945209a1fdddfe813dbe0,48,1,36,18,1,1,0,0,0,0,1,1,64,9/9/17,100000, $31.00 
I1,4b0da7e80e5945209a1fdddfe813dbe0,70,1,36,11,1,1,0,1,0,1,0,1,64,9/9/17,100000, $65.00 
B1,4b0da7e80e5945209a1fdddfe813dbe0,38,1,44,19,0,1,1,1,1,0,0,1,64,9/9/17,100000, $42.00 
I1,c27e0d6ab72c455a8bb66d980963de60,37,0,26,6,1,1,0,1,0,1,0,0,78,6/16/17,71000, $33.00 
I2,c27e0d6ab72c455a8bb66d980963de60,17,0,25,14,0,1,1,1,0,1,0,0,78,6/16/17,71000, $20.00 
I1,c27e0d6ab72c455a8bb66d980963de60,7,1,37,0,1,1,0,1,0,1,0,0,78,6/16/17,71000, $76.00 
D3,c27e0d6ab72c455a8bb66d980963de60,37,1,36,8,1,1,1,1,0,0,1,0,78,6/16/17,71000, $49.00 
