Date,Incidents
1/1/2021,19824
1/2/2021,25458
1/3/2021,41876
1/6/2021,38807
1/7/2021,32127
1/8/2021,25298
1/9/2021,14820
1/10/2021,18390
1/13/2021,24414
1/14/2021,12333
1/15/2021,20584
1/16/2021,14882
1/17/2021,13432
1/20/2021,14718
1/21/2021,15137
1/22/2021,15659
1/23/2021,18361
1/24/2021,16581
1/27/2021,18586
1/28/2021,24491
1/29/2021,15343
1/31/2021,6915
2/3/2021,19428
2/4/2021,18032
2/5/2021,24754
2/6/2021,14689
2/7/2021,25802
2/10/2021,19912
2/11/2021,23452
2/13/2021,27692
2/14/2021,21012
2/17/2021,18077
2/18/2021,13947
2/19/2021,15238
2/20/2021,13298
2/21/2021,16866
2/24/2021,23854
2/25/2021,21925
2/26/2021,24793
2/27/2021,26735
2/28/2021,45960
3/3/2021,15903
3/5/2021,23733
3/6/2021,21098
3/7/2021,14148
3/10/2021,14933
