Date,Incidents
3/1/23,364
3/2/23,309
3/3/23,362
3/4/23,320
3/5/23,405
3/6/23,307
3/7/23,275
3/8/23,196
3/9/23,256
3/10/23,181
3/11/23,189
3/12/23,266
3/13/23,239
3/14/23,293
3/15/23,274
3/16/23,294
3/17/23,327
3/18/23,310
3/19/23,270
3/20/23,236
3/21/23,282
3/22/23,296
3/23/23,270
3/24/23,291
3/25/23,330
3/26/23,311
3/27/23,299
3/28/23,339
3/29/23,296
3/30/23,259
3/31/23,257
4/1/23,109
4/2/23,127
4/3/23,230
4/4/23,303
4/5/23,244
4/6/23,288
4/7/23,351
4/8/23,252
4/9/23,246
4/10/23,219
4/11/23,303
4/12/23,294
4/13/23,302
4/14/23,327
4/15/23,356
4/16/23,335
4/17/23,365
4/18/23,329
4/19/23,275
4/20/23,306
4/21/23,341
4/22/23,284
4/23/23,380
4/24/23,283
4/25/23,236
4/26/23,349
4/27/23,221
4/28/23,321
4/29/23,334
4/30/23,338
5/1/23,319
5/2/23,331
5/3/23,342
5/4/23,282
5/5/23,313
5/6/23,230
5/7/23,295
5/8/23,260
5/9/23,330
5/10/23,322
5/11/23,239
5/12/23,325
5/13/23,370
5/14/23,326
5/15/23,361
5/16/23,398
5/17/23,330
5/18/23,379
5/19/23,310
5/20/23,382
5/21/23,307
5/22/23,334
5/23/23,316
5/24/23,299
5/25/23,342
5/26/23,341
5/27/23,346
5/28/23,341
5/29/23,339
5/30/23,352
5/31/23,356
6/1/23,340
6/2/23,347
6/3/23,368
6/4/23,336
6/5/23,390
6/6/23,380
6/7/23,373
6/8/23,350
6/9/23,335
6/10/23,410
6/11/23,359
6/12/23,375
6/13/23,297
6/14/23,362
6/15/23,275
6/16/23,348
6/17/23,325
6/18/23,398
6/19/23,365
6/20/23,362
6/21/23,412
6/22/23,302
6/23/23,416
6/24/23,427
6/25/23,426
6/26/23,302
6/27/23,408
6/28/23,383
6/29/23,328
6/30/23,460
7/1/23,431
7/2/23,341
7/3/23,340
7/4/23,393
7/5/23,375
7/6/23,371
7/7/23,464
7/8/23,414
7/9/23,495
7/10/23,389
7/11/23,370
7/12/23,363
7/13/23,339
7/14/23,362
7/15/23,413
7/16/23,425
7/17/23,347
7/18/23,403
7/19/23,431
7/20/23,375
7/21/23,425
7/22/23,322
7/23/23,305
7/24/23,360
7/25/23,378
7/26/23,331
7/27/23,336
7/28/23,426
7/29/23,524
7/30/23,383
7/31/23,459
8/1/23,351
8/2/23,446
8/3/23,317
8/4/23,501
8/5/23,443
8/6/23,417
8/7/23,389
8/8/23,381
8/9/23,334
8/10/23,366
8/11/23,431
8/12/23,376
8/13/23,437
8/14/23,387
8/15/23,358
8/16/23,442
8/17/23,377
8/18/23,427
8/19/23,369
8/20/23,390
8/21/23,384
8/22/23,375
8/23/23,423
8/24/23,342
8/25/23,428
8/26/23,446
8/27/23,408
8/28/23,391
8/29/23,365
8/30/23,339
8/31/23,348
9/1/23,386
9/2/23,392
9/3/23,416
9/4/23,359
9/5/23,443
9/6/23,401
9/7/23,399
9/8/23,450
9/9/23,360
9/10/23,401
9/11/23,454
9/12/23,464
9/13/23,372
9/14/23,362
9/15/23,415
9/16/23,386
9/17/23,444
9/18/23,349
9/19/23,391
9/20/23,395
9/21/23,401
9/22/23,522
9/23/23,482
9/24/23,408
9/25/23,435
9/26/23,389
9/27/23,381
9/28/23,283
9/29/23,427
9/30/23,357
10/1/23,402
10/2/23,353
10/3/23,363
10/4/23,277
10/5/23,389
10/6/23,355
10/7/23,434
10/8/23,452
10/9/23,375
10/10/23,356
10/11/23,379
10/12/23,344
10/13/23,442
10/14/23,444
10/15/23,434
10/16/23,379
10/17/23,404
10/18/23,356
10/19/23,376
10/20/23,372
10/21/23,382
10/22/23,339
10/23/23,302
10/24/23,396
10/25/23,323
10/26/23,342
10/27/23,355
10/28/23,341
10/29/23,437
10/30/23,432
10/31/23,369
11/1/23,444
11/2/23,371
11/3/23,281
11/4/23,392
11/5/23,340
11/6/23,368
11/7/23,309
11/8/23,229
11/9/23,255
11/10/23,435
11/11/23,342
11/12/23,410
11/13/23,343
11/14/23,303
11/15/23,390
11/16/23,382
11/17/23,400
11/18/23,359
11/19/23,393
11/20/23,334
11/21/23,347
11/22/23,385
11/23/23,254
11/24/23,369
11/25/23,360
11/26/23,396
11/27/23,406
11/28/23,326
11/29/23,368
11/30/23,329
12/1/23,418
12/2/23,379
12/3/23,375
12/4/23,341
12/5/23,339
12/6/23,330
12/7/23,326
12/8/23,376
12/9/23,384
12/10/23,384
12/11/23,357
12/12/23,285
12/13/23,337
12/14/23,321
12/15/23,299
12/16/23,375
12/17/23,296
12/18/23,381
12/19/23,360
12/20/23,337
12/21/23,362
12/22/23,438
12/23/23,377
12/24/23,358
12/25/23,361
12/26/23,394
12/27/23,358
12/28/23,376
12/29/23,350
12/30/23,428
12/31/23,350
1/1/24,352
1/2/24,419
1/3/24,339
1/4/24,365
1/5/24,345
1/6/24,374
1/7/24,366
1/8/24,294
1/9/24,361
1/10/24,367
1/11/24,300
1/12/24,369
1/13/24,371
1/14/24,340
1/15/24,307
1/16/24,396
1/17/24,323
1/18/24,311
1/19/24,356
1/20/24,285
1/21/24,314
1/22/24,205
1/23/24,262
1/24/24,278
1/25/24,287
1/26/24,388
1/27/24,379
1/28/24,394
1/29/24,472
1/30/24,383
1/31/24,345
2/1/24,291
2/2/24,330
2/3/24,337
2/4/24,380
2/5/24,319
2/6/24,305
2/7/24,276
2/8/24,272
2/9/24,463
2/10/24,350
2/11/24,402
2/12/24,339
2/13/24,261
2/14/24,298
2/15/24,326
2/16/24,395
2/17/24,367
2/18/24,365
2/19/24,365
2/20/24,320
2/21/24,314
2/22/24,182
2/23/24,299
2/24/24,359
2/25/24,313
2/26/24,410
2/27/24,393
2/28/24,331
