School,School URL,District,District URL,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2016-17)
Windsor Park G/T,https://www.schooldigger.com/go/TX/schools/1527001092/school.aspx,Corpus Christi Independent School District,https://www.schooldigger.com/go/TX/district/15270/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78412,Nueces,(361) 994-3664,No,No,No,(n/a),617,37,16.6,30,2,0,12,46,0,1,38,99.8
Canyon Creek Elementary,https://www.schooldigger.com/go/TX/schools/3808008087/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78726,Travis,(512) 428-2800,No,No,No,(n/a),436,31,14,2,1,0,40,10,0,5,44,99.8
Martha & Josh Morriss Math & Engineering Elementary,https://www.schooldigger.com/go/TX/schools/4248011422/school.aspx,Texarkana Independent School District,https://www.schooldigger.com/go/TX/district/42480/search.aspx,Texarkana,https://www.schooldigger.com/go/TX/city/Texarkana/search.aspx,75503,Bowie,(903) 791-2262,No,No,Yes,(n/a),394,21,18.7,19,12,2,4,6,0,3,73,99.8
Carver Center,https://www.schooldigger.com/go/TX/schools/3057008987/school.aspx,Midland Independent School District,https://www.schooldigger.com/go/TX/district/30570/search.aspx,Midland,https://www.schooldigger.com/go/TX/city/Midland/search.aspx,79701,Midland,(432) 240-6400,No,No,No,(n/a),431,27,15.9,8,2,0,3,25,0,3,67,99.8
William B Travis Acdmy/Vngrd For Academically Tag,https://www.schooldigger.com/go/TX/schools/1623001374/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75204,Dallas,(972) 794-7500,No,No,Yes,(n/a),132,9,14.6,18,4,1,7,15,0,1,73,99.7
Old Union Elementary,https://www.schooldigger.com/go/TX/schools/1302009060/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-4600,No,No,No,(n/a),420,35,12,4,1,0,8,10,0,7,74,99.7
Gifted And Talented Student Academy,https://www.schooldigger.com/go/TX/schools/2142013172/school.aspx,Grand Prairie Independent School District,https://www.schooldigger.com/go/TX/district/21420/search.aspx,Grand Prairie,https://www.schooldigger.com/go/TX/city/Grand+Prairie/search.aspx,75052,Dallas,(972) 264-6141,No,Yes,No,(n/a),46,4,11.5,35,11,0,13,28,0,2,46,99.7
Creekside Forest Elementary,https://www.schooldigger.com/go/TX/schools/4296011921/school.aspx,Tomball Independent School District,https://www.schooldigger.com/go/TX/district/42960/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77389,Harris,(281) 357-4526,No,No,No,(n/a),766,44,17.4,3,1,1,7,35,0,4,53,99.6
Commonwealth Elementary,https://www.schooldigger.com/go/TX/schools/1965007606/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(281) 634-5120,No,No,No,(n/a),1012,64,15.8,1,3,0,65,6,0,2,23,99.6
Galatas Elementary,https://www.schooldigger.com/go/TX/schools/1500001763/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77381,Montgomery,(936) 709-5000,No,No,No,(n/a),660,40,16.5,3,1,0,11,16,0,4,69,99.6
