School,District,City,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Percent White1
Texas High School 1,Fort Bend Independent School District,Sugar Land,77498,Fort Bend,(281) 634-2000,9,12,No,Yes,No,Yes,3992,77,9,0.12,0.09,0.36,0.99,0.46,0.29,0.84,0.89
Texas High School 2,Nazareth Independent School District,Nazareth,79063,Castro,(806) 945-2231,KG,12,No,No,No,Yes,2041,82,16,0.71,0.25,0.55,0.04,0.21,0.74,0.99,0.93
Texas High School 3,Treetops School International,Euless,76040,Tarrant,(817) 283-1771,KG,12,No,No,No,Yes,1223,122,10,0.09,0.96,0.44,0.17,0.45,0.99,0.34,0.62
Texas High School 4,Boerne Independent School District,Boerne,78006,Kendall,(830) 357-2600,9,12,No,No,No,No,2426,86,15,0.72,0.69,0.1,0.6,0.53,0.45,0.42,0.86
Texas High School 5,Barbers Hill Independent School District,Mont Belvieu,77580,Chambers,(281) 576-2221,9,12,(n/a),No,No,Yes,3377,93,10,0.28,0.57,0.01,0.1,0.17,0.32,0.23,0.38
Texas High School 6,Miami Independent School District,Miami,79059,Roberts,(806) 868-3971,PK,12,No,No,No,Yes,1980,104,18,0.22,0.42,0.16,0.48,0.32,0.97,0.92,0.32
Texas High School 7,Conroe Independent School District,The Woodlands,77384,Montgomery,(936) 709-3000,9,12,Yes,No,No,No,2834,73,9,0.39,0.12,0.39,0.79,0.5,0.3,0.14,0.7
Texas High School 8,Plano Independent School District,Plano,75074,Collin,(469) 752-9000,9,12,Yes,No,No,No,3292,108,18,0.18,0.65,0.87,0.22,0.16,0.23,0.17,0.94
Texas High School 9,Dallas Independent School District,Dallas,75241,Dallas,(214) 932-7300,9,12,No,No,No,Yes,4490,109,11,0.27,0.7,0.27,0.2,0.56,0.99,0.64,0.21
Texas High School 10,Pearland Independent School District,Pearland,77581,Brazoria,(281) 727-1600,9,12,Yes,No,No,Yes,1479,122,18,0.89,0.93,0.01,0.6,0.8,0.2,0.44,0.92
Texas High School 11,Yes Prep Public Schools Inc,Houston,77039,Harris,(281) 227-2044,6,12,No,No,No,No,1583,67,18,0.83,0.9,0.97,0.7,0.06,0.6,0.07,0.57
Texas High School 12,Austin Independent School District,Austin,78759,Travis,(512) 414-2538,9,12,Yes,No,No,Yes,813,95,3,0.64,0.52,0.57,0.76,0.72,0.28,0.7,0.2
Texas High School 13,Dripping Springs Independent School District,Dripping Springs,78620,Hays,(512) 858-3100,9,12,Yes,No,No,Yes,3847,72,14,0.84,0.05,0.17,0.8,0.46,0.89,0.39,0.73
