School,School URL,District,District URL,City,CityURL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Standard Score
William B Travis Academy/Vangrd For Academically Tag,https://www.schooldigger.com/go/TX/schools/1623008516/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75204,Dallas,(972) 794-7500,No,No,Yes,No,274,18,15.2,0.34,0.11,0,0.08,0.28,0,0.04,99.9
T H Rogers School,https://www.schooldigger.com/go/TX/schools/2364006272/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77057,Harris,(713) 917-3565,No,No,Yes,No,795,63,12.6,0.32,0.13,0,0.47,0.21,0,0.02,99.7
Young Womens Leadership Academy,https://www.schooldigger.com/go/TX/schools/3873011806/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78201,Bexar,(210) 438-6525,Yes,Yes,No,No,415,20,20.7,0.6,0.04,0.01,0.01,0.91,0,0,99.5
Dallas Environmental Science Academy,https://www.schooldigger.com/go/TX/schools/1623005690/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75212,Dallas,(972) 794-3950,Yes,No,Yes,No,427,28,15.2,0.84,0.14,0,0.01,0.8,0,0.01,99.5
Fort Settlement Middle,https://www.schooldigger.com/go/TX/schools/1965008565/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(281) 634-6440,No,No,No,Yes,1223,63,19.4,0.04,0.05,0,0.6,0.09,0,0.03,99.4
Briarmeadow Charter,https://www.schooldigger.com/go/TX/schools/2364008611/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77063,Harris,(713) 458-5500,Yes,No,No,Yes,611,37,16.5,0.63,0.11,0,0.17,0.45,0,0.03,99.4
Fowler Middle School,https://www.schooldigger.com/go/TX/schools/2001011484/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin,(469) 633-5050,No,No,No,No,1001,67,14.9,0.07,0.07,0,0.47,0.08,0,0.02,99.3
Irma Rangel Young Womens Leadership Middle,https://www.schooldigger.com/go/TX/schools/1623012398/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75210,Dallas,(972) 749-5200,Yes,No,Yes,Yes,283,15,18.8,0.76,0.14,0,0.03,0.71,0,0.01,99.2
George Dawson Middle,https://www.schooldigger.com/go/TX/schools/1302009393/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-5500,No,No,No,Yes,646,41,15.7,0.01,0.01,0.01,0.09,0.08,0,0.04,99.2
Willow Springs Middle,https://www.schooldigger.com/go/TX/schools/2838010526/school.aspx,Lovejoy Independent School District,https://www.schooldigger.com/go/TX/district/28380/search.aspx,Lucas,https://www.schooldigger.com/go/TX/city/Lucas/search.aspx,75002,Collin,(469) 742-8500,Yes,No,No,Yes,679,43,15.7,0.04,0.02,0,0.06,0.08,0,0.03,99.2
