School,School URL,District,District URL,City,CityURL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Sharyland North J H,https://www.schooldigger.com/go/TX/schools/3993010823/school.aspx,Sharyland Independent School District,https://www.schooldigger.com/go/TX/district/39930/search.aspx,McAllen,https://www.schooldigger.com/go/TX/city/McAllen/search.aspx,78504,Hidalgo,(956) 686-1415,Yes,No,No,Yes,907,52,17.4,0.63,0,0,0.01,0.94,,
Spring Branch Middle,https://www.schooldigger.com/go/TX/schools/1473007559/school.aspx,Comal Independent School District,https://www.schooldigger.com/go/TX/district/14730/search.aspx,Spring Branch,https://www.schooldigger.com/go/TX/city/Spring+Branch/search.aspx,78070,Comal,(830) 885-8800,No,No,No,Yes,979,59,16.5,0.23,0.02,0,0.01,0.39,,
Haggard Middle,https://www.schooldigger.com/go/TX/schools/3510003962/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75075,Collin,(469) 752-5400,No,No,No,Yes,860,53,16.2,0.21,0.06,0,0.11,0.18,,
Sands Consolidated Independent School District,https://www.schooldigger.com/go/TX/schools/3912004462/school.aspx,Sands Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/39120/search.aspx,Ackerly,https://www.schooldigger.com/go/TX/city/Ackerly/search.aspx,79713,Dawson,(432) 353-4888,Yes,No,No,No,238,19,12.5,0.56,0,0.01,0.01,0.43,,
Seymour Middle,https://www.schooldigger.com/go/TX/schools/3978009109/school.aspx,Seymour Independent School District,https://www.schooldigger.com/go/TX/district/39780/search.aspx,Seymour,https://www.schooldigger.com/go/TX/city/Seymour/search.aspx,76380,Baylor,(940) 889-4548,Yes,No,No,No,165,15,11,0.47,0.01,0,0.01,0.14,,
Muenster High School,https://www.schooldigger.com/go/TX/schools/3186003545/school.aspx,Muenster Independent School District,https://www.schooldigger.com/go/TX/district/31860/search.aspx,Muenster,https://www.schooldigger.com/go/TX/city/Muenster/search.aspx,76252,Cooke,(940) 759-2281,Yes,No,No,No,202,19,10.6,0.11,0,0.01,0.01,0.04,,
Idea Brownsville College Preparatory,https://www.schooldigger.com/go/TX/schools/0021112683/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78526,Cameron,(956) 832-5150,Yes,Yes,No,No,,17,21,0.83,0,0,0.02,0.96,,
Warren Middle,https://www.schooldigger.com/go/TX/schools/1956001811/school.aspx,Forney Independent School District,https://www.schooldigger.com/go/TX/district/19560/search.aspx,Forney,https://www.schooldigger.com/go/TX/city/Forney/search.aspx,75126,Kaufman,(469) 762-4156,No,No,No,No,713,40,17.8,0.23,0.07,0.01,0.01,0.22,,
Sharpstown International School,https://www.schooldigger.com/go/TX/schools/2364002584/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77036,Harris,(713) 778-3440,Yes,No,Yes,No,1033,66,15.6,0.95,0.08,0,0.06,0.82,,
Harwood J H,https://www.schooldigger.com/go/TX/schools/2406002671/school.aspx,Hurst-Euless-Bedford Independent School District,https://www.schooldigger.com/go/TX/district/24060/search.aspx,Bedford,https://www.schooldigger.com/go/TX/city/Bedford/search.aspx,76021,Tarrant,(817) 354-3360,Yes,No,No,Yes,998,57,17.5,0.36,0.15,0.01,0.09,0.22,,
