Date,employee_hours
6/23/2021,184
6/24/2021,206
6/25/2021,215
6/26/2021,276
6/27/2021,176
6/28/2021,231
6/29/2021,163
6/30/2021,268
7/1/2021,127
7/2/2021,133
7/3/2021,184
7/4/2021,274
7/5/2021,278
7/6/2021,260
7/7/2021,245
7/8/2021,203
7/9/2021,258
7/10/2021,198
7/11/2021,168
7/12/2021,183
7/13/2021,246
7/14/2021,209
7/15/2021,212
7/16/2021,214
7/17/2021,251
7/18/2021,219
7/19/2021,170
7/20/2021,207
7/21/2021,165
7/22/2021,165
7/23/2021,167
7/24/2021,163
7/25/2021,310
7/26/2021,278
7/27/2021,186
7/28/2021,248
7/29/2021,266
7/30/2021,212
7/31/2021,103
8/1/2021,200
8/2/2021,213
8/3/2021,245
8/4/2021,250
8/5/2021,158
8/6/2021,265
8/7/2021,159
8/8/2021,262
8/9/2021,175
8/10/2021,275
8/11/2021,165
8/12/2021,132
8/13/2021,231
8/14/2021,254
8/15/2021,254
8/16/2021,260
8/17/2021,187
8/18/2021,281
8/19/2021,208
8/20/2021,242
8/21/2021,269
8/22/2021,173
8/23/2021,282
8/24/2021,233
8/25/2021,275
8/26/2021,198
8/27/2021,257
8/28/2021,129
8/29/2021,152
8/30/2021,111
8/31/2021,221
9/1/2021,160
9/2/2021,256
9/3/2021,185
9/4/2021,138
9/5/2021,258
9/6/2021,260
9/7/2021,176
9/8/2021,153
9/9/2021,154
9/10/2021,273
9/11/2021,242
9/12/2021,152
9/13/2021,182
9/14/2021,230
9/15/2021,211
9/16/2021,162
9/17/2021,228
9/18/2021,241
9/19/2021,305
9/20/2021,232
9/21/2021,135
9/22/2021,120
9/23/2021,145
9/24/2021,252
9/25/2021,159
9/26/2021,223
9/27/2021,298
9/28/2021,161
9/29/2021,227
9/30/2021,243
10/1/2021,71
10/2/2021,267
10/3/2021,229
10/4/2021,134
10/5/2021,240
10/6/2021,191
10/7/2021,155
10/8/2021,180
10/9/2021,203
10/10/2021,160
10/11/2021,221
10/12/2021,128
10/13/2021,128
10/14/2021,229
10/15/2021,188
10/16/2021,183
10/17/2021,207
10/18/2021,224
10/19/2021,132
10/20/2021,139
10/21/2021,167
10/22/2021,262
10/23/2021,181
10/24/2021,129
10/25/2021,220
10/26/2021,156
10/27/2021,272
10/28/2021,154
10/29/2021,230
10/30/2021,129
10/31/2021,136
11/1/2021,159
11/2/2021,161
11/3/2021,239
11/4/2021,267
11/5/2021,148
11/6/2021,151
11/7/2021,220
11/8/2021,140
11/9/2021,186
11/10/2021,172
11/11/2021,233
11/12/2021,198
11/13/2021,141
11/14/2021,185
11/15/2021,231
11/16/2021,218
11/17/2021,182
11/18/2021,269
11/19/2021,212
11/20/2021,166
11/21/2021,252
11/22/2021,226
11/23/2021,157
11/24/2021,212
11/25/2021,231
11/26/2021,220
11/27/2021,285
11/28/2021,228
11/29/2021,157
11/30/2021,152
12/1/2021,291
12/2/2021,139
12/3/2021,141
12/4/2021,193
12/5/2021,225
12/6/2021,255
12/7/2021,193
12/8/2021,262
12/9/2021,174
12/10/2021,155
12/11/2021,211
12/12/2021,278
12/13/2021,131
12/14/2021,140
12/15/2021,160
12/16/2021,309
12/17/2021,255
12/18/2021,174
12/19/2021,259
12/20/2021,160
12/21/2021,192
12/22/2021,114
12/23/2021,245
12/24/2021,204
12/25/2021,127
12/26/2021,144
12/27/2021,249
12/28/2021,264
12/29/2021,158
12/30/2021,254
12/31/2021,129
1/1/2022,125
1/2/2022,237
1/3/2022,197
1/4/2022,273
1/5/2022,167
1/6/2022,190
1/7/2022,258
