Rank (2023-24),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2023-24)
1,No. UT. Acad. for Math Engineering & Science,https://www.schooldigger.com/go/UT/schools/0006300993/school.aspx,No. UT. Acad. for Math Engineering & Science,https://www.schooldigger.com/go/UT/district/00063/search.aspx,2750 N University Park Blvd,Layton,https://www.schooldigger.com/go/UT/city/Layton/search.aspx,84041,Davis County,(801) 395-3350,10,12,No,Yes,Yes,No,713,30.9,23,11.50%,1.10%,0.30%,3.80%,11.80%,0.70%,5.50%,76.90%,99.9
2,Utah County Academy of Science,https://www.schooldigger.com/go/UT/schools/0002001106/school.aspx,Utah County Academy of Science,https://www.schooldigger.com/go/UT/district/00020/search.aspx,940 W 800 S,Orem,https://www.schooldigger.com/go/UT/city/Orem/search.aspx,84058,Utah County,(801) 863-2222,9,12,No,Yes,Yes,No,549,22,24.9,17.30%,1.10%,0.40%,2.90%,29.90%,0.70%,3.50%,61.60%,99.2
3,Intech Collegiate Academy,https://www.schooldigger.com/go/UT/schools/0003901129/school.aspx,Intech Collegiate Academy,https://www.schooldigger.com/go/UT/district/00039/search.aspx,1787 N Research Parkway,North Logan,https://www.schooldigger.com/go/UT/city/North+Logan/search.aspx,84341,Cache County,(435) 753-7377,7,12,Yes,Yes,Yes,No,199,10.7,18.5,28.60%,2.50%,1.00%,2.50%,10.10%,0.00%,4.00%,78.90%,98
4,Karl G. Maeser Preparatory Academy,https://www.schooldigger.com/go/UT/schools/0005601175/school.aspx,Karl G. Maeser Preparatory Academy,https://www.schooldigger.com/go/UT/district/00056/search.aspx,320 W 600 S,Lindon,https://www.schooldigger.com/go/UT/city/Lindon/search.aspx,84042,Utah County,(801) 235-9000,7,12,No,Yes,No,No,635,34.2,18.5,6.60%,0.80%,0.00%,8.80%,16.10%,0.50%,4.40%,69.40%,97.4
5,Crimson Cliffs High,https://www.schooldigger.com/go/UT/schools/0114001559/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,4430 S Crimson Cliffs Way,Washington,https://www.schooldigger.com/go/UT/city/Washington/search.aspx,84790,Washington County,(435) 634-7015,10,12,No,No,No,No,1384,53.6,25.7,11.10%,0.50%,0.40%,0.90%,5.00%,1.10%,2.20%,89.80%,97.3
6,Skyline High,https://www.schooldigger.com/go/UT/schools/0036000261/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,3251 E 3760 S,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84109,Salt Lake County,(385) 646-5420,7,12,No,No,No,No,2125,77.6,27.3,9.40%,0.60%,0.00%,6.00%,6.60%,0.50%,7.30%,78.90%,95.1
7,Academy for Math Engineering & Science,https://www.schooldigger.com/go/UT/schools/0001700904/school.aspx,Academy for Math Engineering & Science,https://www.schooldigger.com/go/UT/district/00017/search.aspx,5715 S 1300 E,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84121,Salt Lake County,(801) 278-9460,9,12,Yes,Yes,Yes,No,469,23.4,20,15.60%,3.20%,1.10%,10.90%,16.40%,5.80%,5.10%,57.60%,92.2
8,Career Technical High School,https://www.schooldigger.com/go/UT/schools/0114001647/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,1001 White Dome Drive,Saint George,https://www.schooldigger.com/go/UT/city/Saint+George/search.aspx,84790,Washington County,(435) 673-3553,KG,12,(n/a),No,(n/a),No,506,28.3,17.8,30.20%,1.00%,0.60%,1.00%,15.60%,0.20%,2.40%,79.20%,90.5
9,Bingham High,https://www.schooldigger.com/go/UT/schools/0042000289/school.aspx,Jordan District,https://www.schooldigger.com/go/UT/district/00420/search.aspx,2160 W 10400 S,South Jordan,https://www.schooldigger.com/go/UT/city/South+Jordan/search.aspx,84095,Salt Lake County,(801) 256-5100,10,12,No,No,No,No,2471,99.3,24.8,11.70%,0.70%,0.30%,3.20%,11.40%,2.10%,4.10%,78.20%,90.2
10,Corner Canyon High,https://www.schooldigger.com/go/UT/schools/0014201428/school.aspx,Canyons District,https://www.schooldigger.com/go/UT/district/00142/search.aspx,12943 S. 700 E.,Draper,https://www.schooldigger.com/go/UT/city/Draper/search.aspx,84020,Salt Lake County,(801) 826-6401,8,12,No,No,No,No,2451,91.6,26.7,10.70%,1.50%,0.00%,2.90%,10.30%,0.80%,4.70%,79.90%,89.9
