Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
1,Kilmer Center,https://www.schooldigger.com/go/VA/schools/0126000512/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,8102 Wolftrap Rd,Vienna,https://www.schooldigger.com/go/VA/city/Vienna/search.aspx,22182,Fairfax County,(571) 226-8440,No,No,No,No,69,14.9,4.6,0.35,0.1,0,0.2,0.25,0,0.07,0.38,94.1
2,Thomas Jefferson ,https://www.schooldigger.com/go/VA/schools/0126002034/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,6560 Braddock Rd,Alexandria,https://www.schooldigger.com/go/VA/city/Alexandria/search.aspx,22312,Fairfax County,(703) 750-8300,No,No,Yes,No,1781,101.7,17.5,0.02,0.02,0,0.7,0.02,0,0.05,0.21,89.1
3,Open ,https://www.schooldigger.com/go/VA/schools/0324001373/school.aspx,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/03240/search.aspx,600 S Pine St,Richmond,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,23220,Richmond city,(804) 780-4661,No,No,No,No,200,14.8,13.5,0.99,0.35,0.01,0.03,0.1,0,0.04,0.5,84.1
4,Richmond Community ,https://www.schooldigger.com/go/VA/schools/0324002075/school.aspx,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/03240/search.aspx,201 E Brookland Park Boulevard,Richmond,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,23222,Richmond city,(804) 285-1015,No,No,No,No,240,19.5,12.2,0.99,0.7,0,0.01,0.06,0,0.03,0.2,83.4
5,Grassfield ,https://www.schooldigger.com/go/VA/schools/0081002765/school.aspx,Chesapeake City Public Schools,https://www.schooldigger.com/go/VA/district/00810/search.aspx,2007 Grizzly Trail,Chesapeake,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,23323,Chesapeake city,(757) 558-4749,No,No,Yes,No,2303,132.4,17.3,0.12,0.15,0.01,0.04,0.1,0,0.08,0.63,83.3
6,Deep Run ,https://www.schooldigger.com/go/VA/schools/0189002278/school.aspx,Henrico County Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,4801 Twin Hickory Rd.,Glen Allen,https://www.schooldigger.com/go/VA/city/Glen+Allen/search.aspx,23059,Henrico County,(804) 364-8000,No,No,Yes,No,1784,93.9,18.9,0.07,0.06,0,0.17,0.05,0,0.05,0.67,81.9
7,Hickory ,https://www.schooldigger.com/go/VA/schools/0081001482/school.aspx,Chesapeake City Public Schools,https://www.schooldigger.com/go/VA/district/00810/search.aspx,1996 Hawk Blvd,Chesapeake,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,23322,Chesapeake city,(757) 421-4295,No,No,No,No,1735,105.5,16.4,0.09,0.07,0,0.02,0.08,0,0.06,0.78,81.4
8,Cosby ,https://www.schooldigger.com/go/VA/schools/0084002661/school.aspx,Chesterfield County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,14300 Fox Club Parkway,Midlothian,https://www.schooldigger.com/go/VA/city/Midlothian/search.aspx,23112,Chesterfield County,(804) 639-8340,No,No,No,No,2234,121.6,18.3,0.09,0.13,0,0.05,0.06,0,0.04,0.72,79.2
9,Langley ,https://www.schooldigger.com/go/VA/schools/0126000517/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,6520 Georgetown Pike,Mclean,https://www.schooldigger.com/go/VA/city/Mclean/search.aspx,22101,Fairfax County,(703) 287-2700,No,No,No,No,1943,114.9,16.9,0.02,0.02,0,0.25,0.05,0,0.06,0.63,79.1
10,West Springfield ,https://www.schooldigger.com/go/VA/schools/0126000585/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,6100 Rolling Rd,Springfield,https://www.schooldigger.com/go/VA/city/Springfield/search.aspx,22152,Fairfax County,(703) 913-3800,No,No,No,No,2310,140.9,16.3,0.13,0.11,0,0.14,0.18,0,0.06,0.51,78.5
11,Robinson Secondary,https://www.schooldigger.com/go/VA/schools/0126000561/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,5035 Sideburn Rd,Fairfax,https://www.schooldigger.com/go/VA/city/Fairfax/search.aspx,22032,Fairfax County,(703) 426-2100,No,No,Yes,No,3818,252.6,15.1,0.11,0.06,0,0.13,0.15,0,0.07,0.59,77.9
12,Briar Woods ,https://www.schooldigger.com/go/VA/schools/0225002451/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,22525 Belmont Ridge Road,Ashburn,https://www.schooldigger.com/go/VA/city/Ashburn/search.aspx,20148,Loudoun County,(703) 957-4400,No,No,No,No,1863,139.1,13.3,0.05,0.05,0,0.26,0.09,0,0.06,0.54,77.6
13,McLean ,https://www.schooldigger.com/go/VA/schools/0126000538/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,1633 Davidson Rd,McLean,https://www.schooldigger.com/go/VA/city/McLean/search.aspx,22101,Fairfax County,(703) 714-5700,No,No,No,No,2275,137.6,16.5,0.08,0.03,0,0.25,0.11,0,0.06,0.55,77.6
14,Patriot ,https://www.schooldigger.com/go/VA/schools/0313002850/school.aspx,Prince William County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,10504 Kettle Run Road,Nokesville,https://www.schooldigger.com/go/VA/city/Nokesville/search.aspx,20181,Prince William County,(703) 594-3020,No,No,Yes,No,2722,166,16.3,0.13,0.11,0,0.14,0.17,0,0.07,0.52,76.8
15,Green Run Collegiate,https://www.schooldigger.com/go/VA/schools/0384002957/school.aspx,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03840/search.aspx,1700 Dahlia Drive,Virginia Beach,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,23453,Virginia Beach city,(757) 263-1264,No,Yes,No,No,360,29.7,12,0.46,0.4,0.01,0.06,0.13,0.01,0.11,0.28,76.4
16,Hidden Valley ,https://www.schooldigger.com/go/VA/schools/0333002308/school.aspx,Roanoke County Public Schools,https://www.schooldigger.com/go/VA/district/03330/search.aspx,5000 Titan Trail,Roanoke,https://www.schooldigger.com/go/VA/city/Roanoke/search.aspx,24018,Roanoke County,(540) 776-7320,No,No,No,No,833,57,14.6,0.18,0.05,0,0.07,0.04,0,0.07,0.77,76.2
17,Fort Chiswell ,https://www.schooldigger.com/go/VA/schools/0411001800/school.aspx,Wythe County Public Schools,https://www.schooldigger.com/go/VA/district/04110/search.aspx,#1 Pioneer Trail,Max Meadows,https://www.schooldigger.com/go/VA/city/Max+Meadows/search.aspx,24360,Wythe County,(276) 637-3437,No,No,No,No,491,33.7,14.5,0.44,0.02,0,0,0.01,0,0.02,0.95,75.9
18,George Wythe ,https://www.schooldigger.com/go/VA/schools/0411001801/school.aspx,Wythe County Public Schools,https://www.schooldigger.com/go/VA/district/04110/search.aspx,1 Maroon Way,Wytheville,https://www.schooldigger.com/go/VA/city/Wytheville/search.aspx,24382,Wythe County,(276) 228-3157,No,No,No,No,406,24.1,16.7,0.51,0.11,0,0.02,0.03,0,0.03,0.82,75.2
