School,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White
Virginia School 1,Bedford County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,1633 Davidson Rd,Richmond,https://www.schooldigger.com/go/VA/city/Wytheville/search.aspx,21742,Chesapeake city,(804) 843-3630,No,No,No,No,1320,8.7,13.6,0.48,0.17,0,0.03,0.11,0,0.01,0.61
Virginia School 2,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,46400 Algonkian Pkwy,Yorktown,https://www.schooldigger.com/go/VA/city/Midlothian/search.aspx,22950,Fairfax County,(804) 966-9671,No,No,No,No,1205,8.7,8.4,0.31,0.14,0,0.25,0.12,0,0.02,0.37
Virginia School 3,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,5941 Rockfish Gap Turnpike,Glen Allen,https://www.schooldigger.com/go/VA/city/Courtland/search.aspx,24651,Gloucester County,(757) 263-1264,No,No,No,No,1721,18,12.2,0.99,0.03,0,0.49,0,0,0,0.72
Virginia School 4,Botetourt County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,25450 Riding Center Drive,Broadway,https://www.schooldigger.com/go/VA/city/Manassas/search.aspx,23846,Richmond city,(757) 242-6172,No,No,No,No,1088,8.7,10.7,0.51,0.13,0,0.08,0.05,0,0.08,0.51
Virginia School 5,Tazewell County Public Schools,https://www.schooldigger.com/go/VA/district/03330/search.aspx,800 N Main St,Chesapeake,https://www.schooldigger.com/go/VA/city/Chantilly/search.aspx,24284,Chesapeake city,(757) 263-1264,No,No,Yes,No,3379,87.6,14.8,0.13,0.18,0,0.15,0.27,0,0.06,0.17
Virginia School 6,Roanoke County Public Schools,https://www.schooldigger.com/go/VA/district/00090/search.aspx,6560 Braddock Rd,Falls Church,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,20105,York County,(757) 242-6172,No,No,Yes,No,2804,8.7,10.5,0.99,0.09,0,0.29,0.05,0,0.05,0.55
Virginia School 7,Accomack County Public Schools,https://www.schooldigger.com/go/VA/district/01290/search.aspx,25450 Riding Center Drive,Nickelsville,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,22956,Louisa County,(804) 378-2440,No,No,No,No,2316,8.7,14.8,0.57,0.12,0,0.22,0.06,0,0.01,0.7
Virginia School 8,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,5941 Rockfish Gap Turnpike,Chesapeake,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,23520,Tazewell County,(540) 886-4286,No,No,No,No,2710,90.2,15.9,0.48,0.1,0,0.06,0.17,0,0.03,0.11
Virginia School 9,York County Public Schools,https://www.schooldigger.com/go/VA/district/04150/search.aspx,23350 Southampton Pkwy,Richmond,https://www.schooldigger.com/go/VA/city/Gloucester/search.aspx,23039,Chesapeake city,(276) 686-4143,No,No,No,No,3115,8.7,13.5,0.28,0.15,0,0.08,0,0,0,0.52
Virginia School 10,New Kent County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,1825 Wenonah Avenue,Falls Church,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,22871,Fairfax County,(757) 686-2500,No,No,No,No,3307,17.3,13,0.5,0.14,0,0.35,0.07,0,0.05,0.05
Virginia School 11,Rockingham County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,51 Odd Rd,Yorktown,https://www.schooldigger.com/go/VA/city/Mechanicsville/search.aspx,24100,Hanover County,(540) 658-6840,No,Yes,No,No,2338,26.7,9.8,0.99,0.17,0,0.31,0,0,0.03,0.94
