Order Priority,Discount,Unit Price,Shipping Cost,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Sales
High,0.01,2.84,0.93,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,West,Washington,Anacortes,98221,1/7/2015,1/8/2015,4.56,13.01
Not Specified,0.02,500.98,26,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,West,California,San Gabriel,91776,6/13/2015,6/15/2015,4390.3665,6362.85
Critical,0.06,9.48,7.29,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,East,New Jersey,Roselle,7203,2/15/2015,2/17/2015,-53.8096,211.15
Medium,0.09,78.69,19.99,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Central,Minnesota,Prior Lake,55372,5/12/2015,5/14/2015,803.4705,1164.45
Medium,0.08,3.28,2.31,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Minnesota,Prior Lake,55372,5/12/2015,5/13/2015,-24.03,22.23
Medium,0.05,3.28,4.2,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Minnesota,Prior Lake,55372,5/12/2015,5/13/2015,-37.03,13.99
Medium,0.05,3.58,1.63,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Central,Minnesota,Prior Lake,55372,5/12/2015,5/13/2015,-0.71,14.26
Critical,0,4.42,4.99,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,East,New York,Smithtown,11787,4/8/2015,4/9/2015,-59.82,33.47
Medium,0.01,35.94,6.66,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,East,New York,Smithtown,11787,5/28/2015,5/28/2015,261.8757,379.53
High,0.04,2.98,1.58,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,East,New York,Syracuse,13210,2/12/2015,2/15/2015,2.63,18.8
High,0.05,115.99,2.5,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,East,New York,Syracuse,13210,2/12/2015,2/14/2015,652.7331,945.99
High,0.05,26.48,6.93,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,West,Montana,Helena,59601,5/15/2015,5/16/2015,314.4813,455.77
Not Specified,0.07,12.99,9.44,Regular Air,Small Business,Technology,Office Machines,Medium Box,West,Montana,Missoula,59801,5/21/2015,5/23/2015,-114.6399,231.79
High,0.05,26.48,6.93,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,East,New York,New York City,10012,5/15/2015,5/16/2015,384.38,1876.69
Not Specified,0.08,5,3.39,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,East,New York,New York City,10012,5/21/2015,5/22/2015,-17.49,293.06
Not Specified,0.07,12.99,9.44,Regular Air,Small Business,Technology,Office Machines,Medium Box,East,New York,New York City,10012,5/21/2015,5/23/2015,-114.6399,914.29
High,0.06,55.48,14.3,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,California,Laguna Niguel,92677,1/28/2015,1/29/2015,-28.2968,67.49
High,0.02,1.68,1.57,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,West,California,Laguna Niguel,92677,1/28/2015,1/30/2015,-5.3072,2.25
Not Specified,0.04,4.14,6.6,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,West,California,Lakewood,90712,5/2/2015,5/4/2015,8.894,54.78
High,0.08,34.99,7.73,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,West,Oregon,Grants Pass,97526,2/22/2015,2/23/2015,144.69,424.68
High,0.01,17.98,8.51,Regular Air,Corporate,Technology,Office Machines,Medium Box,West,Oregon,Grants Pass,97526,3/27/2015,3/28/2015,-35.8788,40.17
Medium,0.09,125.99,7.69,Express Air,Corporate,Technology,Telephones and Communication,Small Box,West,Oregon,Grants Pass,97526,1/20/2015,1/22/2015,209.997,783.55
Low,0.06,205.99,8.99,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,West,Oregon,Grants Pass,97526,3/12/2015,3/19/2015,3568.096,3838.14
Not Specified,0.03,4.24,5.41,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,West,Oregon,Gresham,97030,6/15/2015,6/17/2015,-84.4376,58.68
Not Specified,0.04,2.94,0.7,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,West,Oregon,Gresham,97030,6/15/2015,6/16/2015,24.312,53.1
High,0,99.99,19.99,Regular Air,Consumer,Technology,Office Machines,Small Box,West,Washington,Redmond,98052,5/10/2015,5/11/2015,25.91382,647.07
Not Specified,0,115.99,2.5,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,West,Washington,Puyallup,98373,3/10/2015,3/10/2015,162.666,627.04
Critical,0.07,3502.14,8.73,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Box,West,Washington,Redmond,98052,1/28/2015,1/30/2015,-6923.5992,3267.55
Not Specified,0.02,5.98,5.79,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,Washington,Redmond,98052,3/10/2015,3/11/2015,-67.49,110.19
Medium,0.06,3.8,1.49,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,East,New York,Tonawanda,14150,4/20/2015,4/21/2015,19.6282,73.55
Medium,0.06,1.76,0.7,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,East,New York,Tonawanda,14150,4/20/2015,4/21/2015,-1.6524,29.57
High,0.02,5.98,5.15,Regular Air,Corporate,Office Supplies,Paper,Small Box,Central,Texas,Round Rock,78664,5/9/2015,5/11/2015,2.14,22.85
