School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student/Teacher_Ratio,Percent_Free/Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Nikola Tesla STEM High School,https://www.schooldigger.com/go/WA/schools/0423003432/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,4301 228th Ave NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98053,King County,(425) 936-2770,No,No,Yes,No,606,29.6,20.4,1.7,0.2,0,65.8,3.5,0,4.5,26.1,99.7
International School,https://www.schooldigger.com/go/WA/schools/0039003149/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,445 128th Ave SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98005,King County,(425) 456-6500,No,No,No,No,590,29,20.2,7.3,1.7,0.2,50.8,5.6,0,8.6,33.1,99.6
International Community School,https://www.schooldigger.com/go/WA/schools/0423002568/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,11133 NE 65th ST,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-2380,No,No,Yes,No,412,24,17.1,3.2,0.7,0,54.4,4.4,0.2,6.3,34,99.3
Raisbeck Aviation High School,https://www.schooldigger.com/go/WA/schools/0354002974/school.aspx,Highline School District,https://www.schooldigger.com/go/WA/district/03540/search.aspx,9229 East Marginal Way S,Tukwila,https://www.schooldigger.com/go/WA/city/Tukwila/search.aspx,98108,King County,(206) 631-7200,No,No,No,No,410,19.2,21.3,27.6,12.2,0.7,27.8,13.9,0.5,6.8,37.6,98.9
Pacific Crest Innovation Academy,https://www.schooldigger.com/go/WA/schools/0504003616/school.aspx,Mill A School District,https://www.schooldigger.com/go/WA/district/05040/search.aspx,1142 Jessup rd,cook,https://www.schooldigger.com/go/WA/city/cook/search.aspx,98605,Skamania County,(509) 538-2522,No,No,Yes,No,13,4.5,2.8,23.1,0,0,0,15.4,0,0,84.6,98.5
CAM Academy,https://www.schooldigger.com/go/WA/schools/0038002782/school.aspx,Battle Ground School District,https://www.schooldigger.com/go/WA/district/00380/search.aspx,715 NW Onsdorff Blvd.,Battle Ground,https://www.schooldigger.com/go/WA/city/Battle+Ground/search.aspx,98604,Clark County,(360) 885-6804,No,No,No,No,529,18.2,28.9,21,0.4,0,3.2,5.3,0,5.7,85.4,98.1
Newport Senior High School,https://www.schooldigger.com/go/WA/schools/0039000078/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,4333 Factoria Boulevard SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98006,King County,(425) 456-7400,No,No,No,No,1766,85.8,20.5,8.4,1.8,0.1,52.9,8,0.2,8.5,28.2,97.9
Skyline High School,https://www.schooldigger.com/go/WA/schools/0375002567/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,1122 228th Ave SE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98075,King County,(425) 837-7700,No,No,No,No,2202,100.9,21.8,3.9,1.2,0,38.1,7.4,0.2,6.1,46.9,97.9
Innovation Lab High School,https://www.schooldigger.com/go/WA/schools/0591003747/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,2020 224th Street SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98021,Snohomish County,(425) 408-6000,No,No,No,No,139,8.5,16.2,7.9,2.9,0,20.1,7.2,0,9.4,59,97.8
Bainbridge High School,https://www.schooldigger.com/go/WA/schools/0033000043/school.aspx,Bainbridge Island School District,https://www.schooldigger.com/go/WA/district/00330/search.aspx,9330 NE High School RD,Bainbridge Island,https://www.schooldigger.com/go/WA/city/Bainbridge+Island/search.aspx,98110,Kitsap County,(206) 842-2634,No,No,No,No,1308,64,20.4,7.7,0.7,0.5,3.8,8.2,0.2,7.8,78.7,97.4
Vancouver School of Arts and Academics,https://www.schooldigger.com/go/WA/schools/0927002508/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,3101 Main St,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98663,Clark County,(360) 313-4600,No,No,No,No,598,28.3,21,22.7,1.7,0.3,3.2,13.9,0.8,10.2,69.9,95.8
Lincoln High School,https://www.schooldigger.com/go/WA/schools/0771003719/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,4400 Interlake Ave N,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98103,King County,(206) 413-2500,No,No,No,No,978,47.8,20.4,8.3,3.4,0,7.9,8.7,0.1,11.2,67.7,94.3
Bryant Center,https://www.schooldigger.com/go/WA/schools/0825002764/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,N 910 Ash St,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99201,Spokane County,(509) 354-7810,No,No,No,No,346,15.3,22.5,26.3,0.9,0,0,7.8,0,7.5,83.5,93.8
Camas High School,https://www.schooldigger.com/go/WA/schools/0081003152/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,26900 SE 15th St,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5750,No,No,No,No,2180,97.9,22.2,12.7,0.8,0.3,8.9,10.2,0.1,8.6,71,93.4
Vancouver iTech Preparatory,https://www.schooldigger.com/go/WA/schools/0927003415/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,16100 NE 50th Avenue,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98686,Clark County,(360) 313-5200,No,No,Yes,No,514,23.7,21.6,26.7,0.6,0.4,4.3,17.7,0.6,9.9,66.5,93.2
Bickleton Elementary & High School,https://www.schooldigger.com/go/WA/schools/0051000129/school.aspx,Bickleton School District,https://www.schooldigger.com/go/WA/district/00510/search.aspx,3626 Bickleton Highway,Bickleton,https://www.schooldigger.com/go/WA/city/Bickleton/search.aspx,99322,Klickitat County,(509) 896-5473,Yes,No,No,No,40,12,3.3,17.5,7.5,0,0,30,0,0,62.5,93
Selkirk High School,https://www.schooldigger.com/go/WA/schools/0780003344/school.aspx,Selkirk School District,https://www.schooldigger.com/go/WA/district/07800/search.aspx,10372 Highway 31,Ione,https://www.schooldigger.com/go/WA/city/Ione/search.aspx,99139,Pend Oreille County,(509) 446-3505,No,No,No,No,70,6.4,10.8,41.4,1.4,0,4.3,7.1,0,2.9,84.3,93
